BCBS_Name,Acronym
Blue Cross Blue Shield of Massachusetts,B2B
Blue Cross Blue Shield of Texas,B2C
Regence Blue Shield of Washington,B2D
Highmark Blue Shield,B2E
Blue Cross Blue Shield of Texas,B2F
BCBS of Western New York,B2G
Blue Cross Blue Shield of Massachusetts,B2H
Blue Cross Blue Shield of Illinois,B2J
CareFirst BCBS,B2K
Highmark BCBS of Delaware,B2L
CareFirst BCBS,B2M
Blue Shield of Northeastern New York,B2N
Blue Cross Blue Shield of Massachusetts,B2O
CareFirst BCBS,B2P
CareFirst BCBS,B2Q
Blue Cross Blue Shield of Arkansas,B2R
Regence Blue Cross Blue Shield of Oregon,B2S
CareFirst BCBS,B2T
CareFirst BCBS,B2V
BCBS of Western New York,B2W
Blue Cross Blue Shield of Illinois,B2X
CareFirst BCBS,B2Y
CareFirst BCBS,B2Z
Empire Blue Cross Blue Shield,B3B
Regence Blue Cross Blue Shield of Oregon,B3D
Blue Cross Blue Shield of Texas,B3E
Blue Cross of California,B3F
Empire Blue Cross Blue Shield,B3G
Empire Blue Cross Blue Shield,B3H
Empire Blue Cross Blue Shield,B3I
Premera Blue Cross,B3J
Highmark BCBS,B3L
Empire Blue Cross Blue Shield,B3N
Empire Blue Cross Blue Shield,B3O
Blue Cross Blue Shield of Texas,B3P
Empire Blue Cross Blue Shield,B3Q
Empire Blue Cross Blue Shield,B3R
Empire Blue Cross Blue Shield,B3T
Empire Blue Cross Blue Shield,B3W
Empire Blue Cross Blue Shield,B3X
Empire Blue Cross Blue Shield,B3Y
Blue Cross of California,B4A
Highmark Blue Shield,B4B
Highmark Blue Shield,B4C
Highmark Blue Shield,B4D
Highmark Blue Shield,B4E
Highmark BCBS,B4F
Highmark BCBS of Delaware,B4G
CareFirst BCBS,B4I
CareFirst BCBS,B4J
CareFirst BCBS,B4L
Highmark BCBS of Delaware,B4M
CareFirst BCBS,B4N
CareFirst BCBS,B4O
CareFirst BCBS,B4Q
Blue Cross Blue Shield of Texas,B4S
Empire Blue Cross Blue Shield,B4U
Blue Cross Blue Shield of Texas,B4V
Blue Cross Blue Shield of Massachusetts,B4W
CareFirst BCBS,B4X
CareFirst BCBS,B4Z
Blue Cross of California,B5A
Highmark BCBS,B5B
Anthem BCBS of Nevada,B5D
Capital Blue Cross,B5E
Highmark BCBS of Delaware,B5F
CareFirst BCBS,B5G
Horizon Blue Cross Blue Shield of New Jersey,B5H
Horizon Blue Cross Blue Shield of New Jersey,B5J
CareFirst BCBS,B5K
Empire Blue Cross Blue Shield,B5L
CareFirst BCBS,B5N
CareFirst BCBS,B5Q
CareFirst BCBS,B5R
Blue Cross Blue Shield of Texas,B5S
CareFirst BCBS,B5U
Horizon Blue Cross Blue Shield of New Jersey,B5V
Anthem BCBS of Ohio,B5X
Anthem BCBS of Ohio,B5Y
Anthem BCBS of Ohio,B5Z
Blue Cross Blue Shield of Massachusetts,B6A
Anthem BCBS of Ohio,B6B
Anthem BCBS of Ohio,B6C
Anthem BCBS of Ohio,B6D
Anthem BCBS of Ohio,B6E
Anthem BCBS of Ohio,B6F
Anthem BCBS of Ohio,B6G
Empire Blue Cross Blue Shield,B6H
Empire Blue Cross Blue Shield,B6J
Empire Blue Cross Blue Shield,B6K
Empire Blue Cross Blue Shield,B6L
Highmark BCBS of Delaware,B6M
Empire Blue Cross Blue Shield,B6N
Empire Blue Cross Blue Shield,B6O
Empire Blue Cross Blue Shield,B6P
Empire Blue Cross Blue Shield,B6Q
Empire Blue Cross Blue Shield,B6S
Premera Blue Cross,B6T
Empire Blue Cross Blue Shield,B6U
Empire Blue Cross Blue Shield,B6V
Empire Blue Cross Blue Shield,B6W
Empire Blue Cross Blue Shield,B6X
Blue Cross of California,B6Y
CareFirst BCBS,B6Z
Blue Cross of California,B7A
CareFirst BCBS,B7B
Independence Blue Cross,B7C
Blue Cross Blue Shield of North Dakota,B7E
Blue Cross Blue Shield of Texas,B7F
Empire Blue Cross Blue Shield,B7G
Empire Blue Cross Blue Shield,B7H
CareFirst BCBS,B7K
Blue Cross Blue Shield of Massachusetts,B7L
Regence Blue Shield of Washington,B7P
Blue Cross Blue Shield of Minnesota,B7R
Blue Cross Blue Shield of Texas,B7S
Anthem BCBS of Missouri,B7Z
Blue Cross of California,B8A
