BCBS_Name,Acronym
Blue Cross Blue Shield of Texas,C2A
Highmark BCBS of Pennsylvania,C2B
Blue Shield of Northeastern New York,C2C
Premera Blue Cross,C2E
Highmark BCBS of Pennsylvania,C2F
Blue Cross Blue Shield of Minnesota,C2G
Blue Cross Blue Shield of Alabama,C2H
Highmark BCBS of Pennsylvania,C2I
Blue Cross of California,C2J
Blue Cross Blue Shield of Minnesota,C2K
Highmark BCBS of Pennsylvania,C2L
Blue Cross of California,C2M
Highmark BCBS of Pennsylvania,C2N
Independence Blue Cross,C2Q
Blue Cross Blue Shield of Illinois,C2R
Blue Cross Blue Shield of Illinois,C2S
Premera Blue Cross,C2V
Regence Blue Cross Blue Shield of Oregon,C2W
Blue Cross Blue Shield of Minnesota,C2Y
Anthem Blue Cross of California,C2Z
Regence Blue Cross Blue Shield of Oregon,C3A
Regence Blue Cross Blue Shield of Oregon,C3C
Premera Blue Cross,C3D
Blue Cross Blue Shield of Texas,C3E
Highmark BCBS of Pennsylvania,C3F
Anthem Blue Cross of California,C3G
Anthem BCBS of Indiana,C3J
Highmark BCBS of Pennsylvania,C3K
Highmark BCBS of Pennsylvania,C3L
Highmark BCBS of Pennsylvania,C3M
Blue Cross Blue Shield of Texas,C3N
Anthem BCBS of Virginia,C3S
Regence Blue Cross Blue Shield of Oregon,C3T
Anthem BCBS of Wisconsin,C3U
Blue Cross Blue Shield of Illinois,C3V
Regence Blue Cross Blue Shield of Oregon,C3W
Anthem BCBS of Wisconsin,C3X
Empire Blue Cross Blue Shield,C3Y
Empire Blue Cross Blue Shield,C3Z
Premera Blue Cross,C4A
Anthem BCBS of Virginia,C4B
Blue Cross Blue Shield of Texas,C4C
Empire Blue Cross Blue Shield,C4D
Anthem BCBS of Virginia,C4F
Anthem BCBS of New Hampshire,C4G
Regence Blue Shield of Washington,C4H
Blue Cross Blue Shield of Texas,C4L
Empire Blue Cross Blue Shield,C4M
Independence Blue Cross,C4N
Blue Cross Blue Shield of Texas,C4P
Premera Blue Cross,C4R
Anthem BCBS of Ohio,C4T
Blue Cross Blue Shield of Oklahoma,C4U
Anthem BCBS of Georgia,C4V
BCBS of Western New York,C4W
Anthem Blue Cross of California,C5A
Blue Cross Blue Shield of Illinois,C5B
Blue Cross Blue Shield of Arkansas,C5C
Blue Cross Blue Shield of Illinois,C5D
Anthem Blue Cross of California,C5G
Anthem Blue Cross of California,C5H
Anthem Blue Cross of California,C5J
Blue Shield of Northeastern New York,C5K
Blue Cross Blue Shield of Illinois,C5L
Anthem BCBS of Georgia,C5M
Anthem BCBS of Connecticut,C5R
Anthem BCBS of Colorado,C5S
Anthem BCBS of Missouri,C5T
Anthem BCBS of Colorado,C5U
Anthem BCBS of Georgia,C5W
BCBS of Western New York,C5Z
Anthem Blue Cross of California,C6A
Anthem BCBS of New Hampshire,C6B
Anthem BCBS of Virginia,C6C
Anthem BCBS of New Hampshire,C6D
Anthem BCBS of New Hampshire,C6E
Blue Cross Blue Shield of Illinois,C6F
Anthem BCBS of New Hampshire,C6G
Anthem BCBS of Virginia,C6H
Blue Cross Blue Shield of Illinois,C6J
Horizon Blue Cross Blue Shield of New Jersey,C6L
Regence Blue Cross Blue Shield of Oregon,C6P
Empire Blue Cross Blue Shield,C6R
Anthem BCBS of Virginia,C6S
Regence Blue Cross Blue Shield of Oregon,C6T
Anthem BCBS of Georgia,C6W
Anthem Blue Cross of California,C7A
Blue Cross Blue Shield of Illinois,C7B
Blue Cross Blue Shield of Minnesota,C7C
Blue Cross Blue Shield of Illinois,C7D
Anthem BCBS of Colorado,C7E
Blue Cross Blue Shield of Illinois,C7F
Anthem BCBS of Wisconsin,C7M
Anthem BCBS of Wisconsin,C7N
Blue Cross Blue Shield of Minnesota,C7S
Anthem BCBS of Ohio,C7T
Anthem BCBS of Colorado,C7W
Anthem BCBS of Colorado,C7X
Regence Blue Shield of Washington,C7Y
Anthem Blue Cross of California,C8A
Blue Cross Blue Shield of Illinois,C8B
Anthem BCBS of Missouri,C8C
Anthem BCBS of Missouri,C8D
Blue Cross Blue Shield of Massachusetts,C8F
Blue Cross Blue Shield of Illinois,C8M
Blue Cross Blue Shield of Minnesota,C8S
Anthem BCBS of Nevada,C8T
Anthem Blue Cross of California,C8V
Blue Cross Blue Shield of Massachusetts,C8W
BCBS of Western New York,C9A
Blue Cross Blue Shield of Illinois,C9B
Anthem BCBS of Connecticut,C9C
Regence Blue Shield of Washington,C9D
Anthem Blue Cross of California,C9E
Blue Cross Blue Shield of Illinois,C9H
Blue Cross Blue Shield of Texas,C9R
Premera Blue Cross,C9S
Carefirst BCBS of Maryland,CAA
BCBS of Massachusetts,CAB
Anthem Blue Cross of California,CAC
Blue Cross Blue Shield of Massachusetts,CAD
Empire Blue Cross Blue Shield,CAE
BCBS of Mississippi,CAF
Blue Shield of California,CAG
Blue Cross Blue Shield of Georgia,CAH
Anthem Blue Cross of California,CAI
Wellmark BCBS,CAJ
Blue Shield of California,CAK
BCBS of Minnesota,CAL
Highmark BCBS,CAM
BCBS of Illinois,CAN
Independence Blue Cross,CAO
BCBS of Texas,CAP
Premera Blue Cross,CAQ
Wellmark BCBS,CAR
BCBS of Texas,CAS
Independence Blue Cross,CAT
Carefirst BCBS,CAU
Premera Blue Cross,CAV
Blue Shield of California,CAW
Anthem Blue Cross of California,CAX
BCBS of Massachusetts,CAY
BCBS of Minnesota,CAZ
Anthem Blue Cross of California,CBA
BCBS of Texas,CBB
BCBS of Massachusetts,CBC
Highmark BCBS,CBD
Independence Blue Cross,CBE
Anthem BCBS of Ohio,CBF
BCBS of Alabama,CBG
Anthem BCBS of Colorado,CBH
Anthem BCBS of Ohio,CBI
BCBS of South Carolina,CBJ
Anthem BCBS of Ohio,CBK
Unassigned Prefix,CBL
Wellmark BCBS,CBM
Blue Cross Blue Shield of Georgia,CBN
BCBS of South Carolina,CBO
Anthem BCBS of Ohio,CBP
Anthem Blue Cross of California,CBQ
BCBS of Wisconsin,CBR
Anthem BCBS of New Hampshire,CBS
Anthem BCBS of Ohio,CBT
Horizon BCBS of New Jersey,CBU
BCBS of South Carolina,CBV
Anthem BCBS of Colorado,CBW
Anthem BCBS of Ohio,CBX
BCBS of Illinois,CBY
Horizon BCBS of New Jersey,CBZ
BCBS of Illinois,CCA
Carefirst BCBS of Maryland,CCB
Blue Cross of Idaho,CCC
Blue Cross Blue Shield of South Carolina,CCD
Unassigned Prefix,CCE
BCBS of Illinois,CCF
Unassigned Prefix,CCG
Wellmark BCBS,CCH
BCBS of Michigan,CCI
BCBS of Michigan,CCJ
BCBS of Minnesota,CCK
BCBS of Illinois,CCL
BCBS of Texas,CCM
BCBS of Alabama,CCN
Independence Administrators,CCO
BCBS of Michigan,CCP
Independence Blue Cross,CCQ
Wellmark BCBS,CCR
Unassigned Prefix,CCS
Blue Cross of Idaho,CCT
Anthem BCBS of Connecticut - Taft Hartley National Account,CCU
Anthem Blue Cross of California,CCV
Carefirst BCBS,CCW
BCBS of Minnesota,CCX
Wellmark BCBS,CCY
Blue Shield of California,CCZ
BCBS of Illinois,CDA
Anthem Blue Cross of California,CDB
BCBS of Arizona,CDC
Carefirst Administrators,CDD
BCBS of Texas,CDE
Anthem  BCBS of Kentucky,CDF
Wellmark BCBS,CDG
Unassigned Prefix,CDH
CareFirst BCBS,CDI
Anthem BCBS of Indiana,CDJ
Empire BCBS of New York,CDK
Carefirst BCBS of Maryland,CDL
Highmark BCBS,CDM
Blue Advantage Administrators of Arkansas,CDN
Wellmark BCBS,CDO
Wellmark BCBS,CDP
Independence Blue Cross,CDQ
Carefirst BCBS of Maryland,CDR
Blue Shield of Northeastern New York,CDS
BCBS of Minnesota,CDT
BCBS of Illinois,CDU
BCBS of South Carolina,CDV
BCBS of Massachusetts,CDW
BCBS of Illinois,CDX
Carefirst Administrators,CDY
Independence Blue Cross,CDZ
Anthem BCBS of Virginia,CEA
Wellmark BCBS,CEB
BCBS of Minnesota,CEC
BCBS of Illinois,CED
BCBS of Texas,CEE
Anthem BCBS of Ohio,CEF
Carefirst BCBS of Maryland,CEG
Blue Cross Blue Shield of Massachusetts,CEH
CareFirst BCBS,CEI
BCBS of Illinois,CEJ
Regence Blue Cross Blue Shield of Utah,CEK
BCBS of Massachusetts,CEL
Anthem Blue Cross of California,CEM
Unassigned Prefix,CEN
BCBS of Nebraska,CEO
BCBS of Illinois,CEP
Wellmark BCBS,CEQ
Unassigned Prefix,CER
BCBS of South Carolina,CES
Blue Shield of California,CET
BCBS of Alabama,CEU
BCBS of Minnesota,CEV
Wellmark BCBS,CEW
BCBS of Illinois,CEX
