BCBS_Name,Acronym
Blue Cross Blue Shield of Illinois,D2C
Anthem BCBS of Indiana,D2D
Anthem BCBS of Indiana,D2E
Highmark BCBS of Pennsylvania,D2L
Highmark BCBS of Pennsylvania,D2P
Blue Cross Blue Shield of Illinois,D2R
Horizon Blue Cross Blue Shield of New Jersey,D2S
Blue Cross Blue Shield of Illinois,D2T
Horizon Blue Cross Blue Shield of New Jersey,D2U
Horizon Blue Cross Blue Shield of New Jersey,D2W
Blue Cross of California,D3A
Highmark BCBS of Pennsylvania,D3B
Highmark BCBS of Pennsylvania,D3D
Anthem BCBS of Ohio,D3E
Anthem BCBS of Ohio,D3F
Anthem BCBS of Ohio,D3G
Anthem BCBS of Ohio,D3H
Anthem BCBS of Ohio,D3J
Anthem BCBS of Wisconsin,D3K
Blue Cross Blue Shield of Vermont,D3M
Anthem BCBS of Ohio,D3N
Anthem BCBS of Ohio,D3Q
Anthem BCBS of Ohio,D3R
Anthem BCBS of Ohio,D3S
Anthem BCBS of Ohio,D3T
Anthem BCBS of Ohio,D3U
Anthem BCBS of Ohio,D3V
Anthem BCBS of Ohio,D3W
Anthem BCBS of Ohio,D3X
Anthem BCBS of Ohio,D3Y
Anthem BCBS of Wisconsin,D3Z
Blue Cross of California,D4A
Regence Blue Cross Blue Shield of Oregon,D4B
Regence Blue Shield of Washington,D4C
Regence Blue Cross Blue Shield of Oregon,D4D
Blue Cross Blue Shield of Texas,D4E
Anthem Blue Cross of California,D4F
BCBS of Western New York,D4G
Blue Shield of Northeastern New York,D4L
Horizon Blue Cross Blue Shield of New Jersey,D4M
Empire Blue Cross Blue Shield,D4P
Blue Cross of California,D5A
Unassigned,D5J
Blue Cross of California,D6A
Blue Cross Blue Shield of Texas,D6C
Horizon Blue Cross Blue Shield of New Jersey,D6G
Blue Cross Blue Shield of Illinois,D6M
BCBS of Western New York,D6T
Blue Cross of California,D7A
Anthem Blue Cross of California,D7H
Anthem BCBS of Connecticut,D7M
BCBS of Western New York,D8A
Premera Blue Cross,D8L
Blue Cross Blue Shield of Illinois,D8M
Blue Cross of California,D9A
Blue Cross Blue Shield of Massachusetts,D9E
Blue Cross Blue Shield of Illinois,D9R
Regence Blue Cross Blue Shield of Oregon,DAA
Blue Cross Blue Shield of Michigan,DAB
CareFirst BCBS,DAC
Blue Cross Blue Shield of Illinois,DAD
Wellmark BCBS,DAE
Anthem BCBS of Wisconsin,DAF
Blue Cross Blue Shield of South Carolina,DAG
Anthem Blue Cross of California,DAH
Blue Cross Blue Shield of Massachusetts,DAI
Wellmark BCBS,DAJ
Blue Cross Blue Shield of Massachusetts,DAK
Blue Cross Blue Shield of Texas,DAL
Unassigned,DAM
CareFirst BCBS,DAN
Anthem BCBS of Ohio,DAO
Wellmark BCBS,DAP
CareFirst BCBS,DAQ
Blue Cross Blue Shield of Minnesota,DAR
Wellmark BCBS,DAS
Blue Cross Blue Shield of Texas,DAT
Premera Blue Cross,DAU
Capital Blue Cross,DAV
Wellmark BCBS,DAW
Blue Cross Blue Shield of Illinois,DAX
Anthem BCBS of Ohio,DAY
Independence Blue Cross,DAZ
Anthem BCBS of Kentucky,DBA
Blue Cross Blue Shield of North Carolina,DBB
Blue Cross Blue Shield of Tennessee,DBC
Unassigned,DBD
Anthem BCBS of Ohio,DBE
Anthem BCBS of Ohio,DBF
Anthem BCBS of Ohio,DBG
Premera Blue Cross,DBH
Blue Cross Blue Shield of Missouri,DBI
Anthem BCBS of Ohio,DBJ
Wellmark BCBS,DBK
Blue Cross Blue Shield of Alabama,DBL
Highmark BCBS of Pennsylvania,DBM
Blue Cross of California,DBN
Independence Blue Cross,DBO
Premera Blue Cross,DBP
Empire Blue Cross Blue Shield,DBQ
Blue Cross Blue Shield of South Carolina,DBR
Blue Cross Blue Shield of Rhode Island,DBS
Blue Cross Blue Shield of Michigan,DBT
CareFirst BCBS,DBU
Blue Cross Blue Shield of Michigan,DBV
Blue Cross Blue Shield of Michigan,DBW
Blue Cross Blue Shield of Massachusetts,DBX
Blue Cross Blue Shield of Georgia,DBY
Blue Cross Blue Shield of Illinois,DBZ
Blue Cross Blue Shield of Kansas City,DCA
Anthem BCBS of Ohio,DCB
Blue Cross Blue Shield of Michigan,DCC
Highmark BCBS of Pennsylvania,DCD
CareFirst BCBS,DCE
CareFirst BCBS,DCF
Wellmark BCBS,DCG
Blue Cross Blue Shield of Michigan,DCH
CareFirst BCBS,DCI
Anthem BCBS of Ohio,DCJ
Blue Cross Blue Shield of North Carolina,DCK
Blue Cross Blue Shield of Tennessee,DCL
Highmark BCBS of Pennsylvania,DCM
Blue Cross Blue Shield of Nebraska,DCN
Anthem BCBS of Virginia,DCO
Blue Cross Blue Shield of Illinois,DCP
Wellmark BCBS,DCQ
Blue Cross Blue Shield of South Carolina,DCR
Wellmark BCBS,DCS
Wellmark BCBS,DCT
Horizon Blue Cross Blue Shield of New Jersey,DCU
Blue Cross Blue Shield of Texas,DCV
Horizon Blue Cross Blue Shield of New Jersey,DCW
Blue Cross Blue Shield of Alabama,DCX
Blue Shield of California,DCY
Unassigned,DCZ
Blue Cross Blue Shield of South Carolina,DDA
Blue Cross Blue Shield of Tennessee,DDB
Blue Shield of California,DDC
Blue Cross Blue Shield of Michigan,DDD
Highmark BCBS of Pennsylvania,DDE
Anthem BCBS of Wisconsin,DDF
Blue Cross Blue Shield of Texas,DDG
Wellmark BCBS,DDH
Blue Cross of California,DDI
Blue Cross Blue Shield of Michigan,DDJ
Highmark BCBS of Pennsylvania,DDK
Capital Blue Cross,DDL
Blue Cross Blue Shield of Minnesota,DDM
Blue Cross Blue Shield of Louisiana,DDN
Blue Cross Blue Shield of Louisiana,DDO
Anthem BCBS of New Hampshire,DDP
Blue Shield of California,DDQ
Blue Shield of California,DDR
Anthem BCBS of Ohio,DDS
Blue Shield of California,DDT
Blue Cross Blue Shield of North Dakota,DDU
Blue Cross Blue Shield of Tennessee,DDV
Regence Blue Cross Blue Shield of Oregon,DDW
Unassigned,DDX
Blue Cross Blue Shield of Michigan,DDY
Blue Cross Blue Shield of Illinois,DDZ
Blue Cross Blue Shield of Illinois,DEA
Blue Cross of California,DEB
Blue Cross Blue Shield of Nebraska,DEC
Independence Blue Cross,DED
Anthem BCBS of Indiana,DEE
Blue Cross Blue Shield of Illinois,DEF
Blue Cross Blue Shield of Tennessee,DEG
Blue Cross Blue Shield of Michigan,DEH
Blue Cross Blue Shield of Michigan,DEI
Blue Shield of California,DEJ
Blue Cross Blue Shield of Michigan,DEK
Blue Cross of California,DEL
Blue Cross Blue Shield of Michigan,DEM
Premera Blue Cross,DEN
Blue Shield of California,DEO
Blue Cross of California,DEP
Anthem BCBS of Ohio,DEQ
Blue Cross Blue Shield of Texas,DER
Blue Cross Blue Shield of Michigan,DES
Blue Cross Blue Shield of South Carolina,DET
Blue Cross Blue Shield of Missouri,DEU
Blue Cross Blue Shield of Massachusetts,DEV
Blue Cross Blue Shield of North Dakota,DEW
Blue Cross Blue Shield of Minnesota,DEX
Blue Cross Blue Shield of Illinois,DEY
Empire Blue Cross Blue Shield,DEZ
Blue Cross Blue Shield of Kansas City,DFA
Independence Blue Cross,DFB
Blue Cross Blue Shield of Illinois,DFC
CareFirst BCBS,DFD
Wellmark BCBS,DFE
CareFirst BCBS,DFF
Wellmark BCBS,DFG
Blue Cross of California,DFH
Independence Blue Cross,DFI
Capital Blue Cross,DFJ
Blue Cross Blue Shield of Michigan,DFK
Independence Blue Cross,DFL
CareFirst BCBS,DFM
BCBS of Florida,DFN
Blue Shield of California,DFO
Blue Cross Blue Shield of South Carolina,DFP
Anthem BCBS of Ohio,DFQ
Wellmark BCBS,DFR
Blue Cross Blue Shield of Illinois,DFS
Blue Cross Blue Shield of Texas,DFT
Blue Cross Blue Shield of Michigan,DFU
Blue Cross Blue Shield of Illinois,DFV
Blue Cross of California,DFW
Blue Cross Blue Shield of South Carolina,DFX
Blue Cross Blue Shield of Texas,DFY
Anthem BCBS of Ohio,DFZ
Blue Cross of California,DGA
Blue Cross Blue Shield of South Carolina,DGB
Blue Shield of California,DGC
Blue Cross of Idaho,DGD
Wellmark BCBS,DGE
Blue Shield of California,DGF
Regence Blue Shield of Washington,DGG
Independence Blue Cross,DGH
Blue Cross Blue Shield of Tennessee,DGI
Blue Cross Blue Shield of Massachusetts,DGJ
Blue Cross Blue Shield of South Carolina,DGK
Blue Cross Blue Shield of Alabama,DGL
Regence Blue Shield of Washington,DGM
Blue Cross Blue Shield of Tennessee,DGN
Blue Cross Blue Shield of Michigan,DGO
Blue Cross Blue Shield of Michigan,DGP
Blue Cross Blue Shield of Tennessee,DGQ
Independence Blue Cross,DGR
Unassigned,DGS
Blue Cross Blue Shield of Tennessee,DGT
Blue Cross Blue Shield of Alabama,DGU
Wellmark BCBS,DGV
Blue Cross Blue Shield of Tennessee,DGW
CareFirst BCBS,DGX
Blue Cross Blue Shield of Michigan,DGY
Blue Cross of California,DGZ
Anthem BCBS of Ohio,DHA
Empire Blue Cross Blue Shield,DHB
Blue Cross Blue Shield of Alabama,DHC
Anthem BCBS of Ohio,DHD
Blue Cross Blue Shield of Michigan,DHE
Blue Cross of Idaho,DHF
Anthem BCBS of Missouri,DHG
Anthem BCBS of Ohio,DHH
Capital Blue Cross,DHI
Anthem BCBS of Ohio,DHJ
Blue Cross Blue Shield of Tennessee,DHK
Anthem BCBS of Ohio,DHL
Blue Cross Blue Shield of Michigan,DHM
Blue Cross Blue Shield of Massachusetts,DHN
