BCBS_Name,Acronym
Blue Cross Blue Shield of Texas,E2A
Blue Cross Blue Shield of Texas,E2B
Anthem BCBS of Indiana,E2C
Regence Blue Cross Blue Shield of Oregon,E2E
Blue Cross of California,E2F
Blue Cross of California,E2G
Blue Cross Blue Shield of Illinois,E2K
Blue Cross Blue Shield of Massachusetts,E2L
Blue Cross Blue Shield of Texas,E2M
Blue Cross Blue Shield of Illinois,E2N
Blue Cross of California,E2P
Blue Cross of California,E2Q
Blue Cross of California,E2R
Regence Blue Cross Blue Shield of Oregon,E2S
Blue Cross Blue Shield of Massachusetts,E2T
Blue Cross of California,E2U
Blue Cross Blue Shield of Illinois,E2V
Blue Cross of California,E2W
Anthem Blue Cross of California,E2X
Blue Cross of California,E2Y
Blue Cross of California,E2Z
Blue Cross Blue Shield of Massachusetts,E3A
Blue Cross of California,E3B
Blue Cross of California,E3D
Anthem Blue Cross of California,E3E
Blue Cross Blue Shield of Illinois,E3G
Anthem BCBS of Wisconsin,E3M
Premera Blue Cross,E3N
Anthem BCBS of Wisconsin,E3P
Blue Cross Blue Shield of Illinois,E3S
Empire Blue Cross Blue Shield,E3U
Blue Cross Blue Shield of Illinois,E3V
Anthem BCBS of Wisconsin,E3X
Blue Cross Blue Shield of Georgia,E3Y
Anthem BCBS of Wisconsin,E3Z
Blue Cross Blue Shield of Massachusetts,E4A
Blue Cross Blue Shield of Massachusetts,E4B
Blue Cross Blue Shield of Massachusetts,E4C
Blue Cross Blue Shield of Massachusetts,E4D
Blue Cross Blue Shield of Massachusetts,E4E
Anthem BCBS of Indiana,E4L
Blue Cross of California,E4T
Blue Cross Blue Shield of Texas,E5A
Premera Blue Cross,E5H
Blue Cross Blue Shield of Texas,E5N
Blue Cross Blue Shield of Texas,E5S
Premera Blue Cross,E5X
Anthem BCBS of Ohio,E6A
Empire Blue Cross Blue Shield,E6D
Anthem BCBS of Wisconsin,E6T
Blue Cross Blue Shield of Texas,E8C
Blue Cross Blue Shield of Texas,E8E
Blue Cross Blue Shield of Texas,E8N
Anthem BCBS of Wisconsin,E9A
Anthem BCBS of Wisconsin,E9B
Blue Cross Blue Shield of Rhode Island,EAA
Blue Cross Blue Shield of South Carolina,EAB
Anthem BCBS of Virginia,EAC
Blue Cross Blue Shield of Illinois,EAD
Regence Blue Cross Blue Shield of Oregon,EAE
Blue Cross Blue Shield of Massachusetts,EAF
Capital Blue Cross,EAG
BCBS of Alabama,EAH
Anthem BCBS of Ohio,EAI
CareFirst BCBS,EAJ
Anthem BCBSf of Ohio,EAK
Anthem BCBS of Connecticut,EAL
BCBS of Alabama,EAM
CareFirst BCBS,EAN
CareFirst BCBS,EAO
CareFirst BCBS,EAP
Blue Cross Blue Shield of South Carolina,EAQ
Blue Cross Blue Shield of Texas,EAR
Blue Shield of California,EAS
Blue Cross Blue Shield of Texas,EAT
Unassigned,EAU
Blue Cross Blue Shield of Texas,EAV
Blue Cross of California,EAW
Blue Cross Blue Shield of Texas,EAX
Blue Cross Blue Shield of Texas,EAY
Blue Cross Blue Shield of Arizona,EAZ
Blue Cross of California,EBA
Independence Blue Cross,EBB
Blue Cross Blue Shield of Texas,EBC
Wellmark BCBS,EBD
CareFirst BCBS,EBE
Blue Shield of California,EBF
Blue Cross Blue Shield of Kansas City,EBG
Capital Blue Cross,EBH
BCBS of Alabama,EBI
Anthem BCBS of Wisconsin,EBJ
Wellmark BCBS,EBK
Wellmark BCBS,EBL
Blue Cross Blue Shield of Michigan,EBM
Empire Blue Cross Blue Shield,EBN
CareFirst BCBS,EBO
CareFirst BCBS,EBP
Blue Cross Blue Shield of Illinois,EBQ
Wellmark BCBS,EBR
Blue Cross of California,EBS
Blue Cross Blue Shield of Louisiana,EBT
Highmark BCBS of Pennsylvania,EBU
Blue Cross of California,EBV
Blue Cross Blue Shield of Tennessee Commercial,EBW
Wellmark BCBS,EBX
Blue Cross Blue Shield of Illinois,EBY
Blue Shield of California,EBZ
CareFirst BCBS,ECA
BCBS of Alabama,ECB
Blue Cross Blue Shield of Tennessee Commercial,ECC
Blue Shield of Northeastern New York,ECD
Blue Cross Blue Shield of Mississippi,ECE
Unassigned,ECF
Anthem BCBS of Wisconsin,ECG
Anthem BCBS of Ohio,ECH
CareFirst BCBS,ECI
Anthem BCBS of Ohio,ECJ
Blue Cross Blue Shield of North Carolina,ECK
Anthem BCBS of Ohio,ECL
CareFirst BCBS,ECM
Anthem BCBS of Missouri,ECN
Blue Cross Blue Shield of Illinois,ECO
Blue Cross Blue Shield of Texas,ECP
Highmark BCBS of Pennsylvania,ECQ
Anthem BCBS of Ohio,ECR
Anthem BCBS of Ohio,ECS
CareFirst BCBS,ECT
Blue Cross of Idaho,ECU
Anthem BCBS of Ohio,ECV
Regence Blue Cross Blue Shield of Utah,ECW
Blue Cross Blue Shield of Minnesota,ECX
Blue Cross Blue Shield of Texas,ECY
Blue Cross Blue Shield of Texas,ECZ
Blue Cross Blue Shield of Georgia,EDA
Anthem BCBS of Ohio,EDB
Blue Cross Blue Shield of South Carolina,EDC
Blue Cross Blue Shield of Georgia,EDD
Highmark BCBS of Pennsylvania,EDE
Anthem BCBS of Wisconsin,EDF
Capital Blue Cross,EDG
Blue Cross of Idaho,EDH
Blue Shield of California,EDI
Blue Cross Blue Shield of Illinois,EDJ
Empire Blue Cross Blue Shield,EDK
CareFirst BCBS,EDL
Premera Blue Cross,EDM
CareFirst BCBS,EDN
Blue Cross Blue Shield of Arkansas,EDO
Blue Cross Blue Shield of Michigan,EDP
CareFirst BCBS,EDQ
Blue Cross Blue Shield of Minnesota,EDR
Blue Cross Blue Shield of South Carolina,EDS
CareFirst BCBS,EDT
BCBS of Alabama,EDU
Blue Cross Blue Shield of South Carolina,EDV
Anthem BCBS of Ohio,EDW
Blue Cross Blue Shield of Texas,EDX
CareFirst BCBS,EDY
Blue Cross Blue Shield of Massachusetts,EDZ
Excellus BCBS,EEA
Florida Blue,EEB
Blue Cross Blue Shield of Illinois,EEC
Blue Cross Blue Shield of Illinois,EED
CareFirst BCBS,EEE
Blue Cross Blue Shield of Minnesota,EEF
BCBS of Alabama,EEG
Unassigned,EEH
Blue Shield of Northeastern New York,EEI
Blue Cross Blue Shield of Illinois,EEJ
Blue Cross Blue Shield of Nebraska,EEK
Unassigned,EEL
Blue Cross of Idaho,EEM
Independence Blue Cross,EEN
Blue Shield of California,EEO
CareFirst BCBS,EEP
Wellmark BCBS,EEQ
Blue Shield of California,EER
Blue Cross Blue Shield of South Carolina,EES
Excellus BCBS,EET
Blue Cross Blue Shield of Nebraska,EEU
CareFirst BCBS,EEV
Anthem BCBS of Wisconsin,EEW
Capital Blue Cross,EEX
Empire Blue Cross Blue Shield,EEY
Blue Cross Blue Shield of Illinois,EEZ
Blue Cross of California,EFA
CareFirst BCBS,EFB
Wellmark BCBS,EFC
Blue Shield of California,EFD
Unassigned,EFE
Blue Cross Blue Shield of Massachusetts,EFF
Blue Cross Blue Shield of Minnesota,EFG
Regence Blue Cross Blue Shield of Oregon,EFH
Highmark BCBS of Pennsylvania,EFI
Blue Cross Blue Shield of Massachusetts,EFJ
Wellmark BCBS,EFK
Blue Cross Blue Shield of Texas,EFL
