BCBS_Name,Acronym
Blue Cross Blue Shield of Texas,F2B
Horizon Blue Cross Blue Shield of New Jersey,F2F
Regence Blue Cross Blue Shield of Oregon,F2G
Premera Blue Cross,F2K
Blue Cross Blue Shield of Illinois,F2L
Blue Cross of Idaho,F2M
Blue Cross Blue Shield of Illinois,F2N
Anthem Blue Cross of California,F2P
Blue Cross Blue Shield of Rhode Island,F2S
Anthem BCBS of Ohio,F2T
Blue Cross Blue Shield of Illinois,F2W
Premera Blue Cross,F3B
Highmark BCBS of Pennsylvania,F3C
Blue Cross Blue Shield of Texas,F3E
Blue Cross Blue Shield of Illinois,F3F
Blue Cross Blue Shield of Illinois,F3M
Highmark BCBS of Pennsylvania,F3P
Anthem BCBS of Virginia,F4A
Blue Cross Blue Shield of Texas,F4C
Blue Cross Blue Shield of Texas,F4F
Blue Cross Blue Shield of Minnesota,F4G
Horizon Blue Cross Blue Shield of New Jersey,F4S
Florida Blue,F4W
Blue Cross Blue Shield of Minnesota,F5A
Horizon BCBS of New Jersey,F5Z
Anthem BCBS of Indiana,F6A
Blue Cross Blue Shield of Illinois,F6G
Blue Cross Blue Shield of Texas,F7F
Blue Cross Blue Shield of Illinois,F7G
Anthem BCBS of Ohio,F9S
Horizon Blue Cross Blue Shield of New Jersey,F9T
Anthem BCBS of Ohio,FAA
BCBS of Alabama,FAB
BCBS of Vermont,FAC
BCBS of Illinois,FAD
BCBS of Rhose Island,FAE
Carefirst BCBS of Maryland,FAF
Unassigned Prefix,FAG
BCBS of Vermont,FAH
Anthem Blue Cross of California,FAI
Anthem BCBS of Georgia,FAJ
Anthem BCBS of Georgia,FAK
Anthem Blue Cross of California,FAL
Wellmark BCBS,FAM
Blue Shield of California,FAN
BCBS of Vermont,FAO
Anthem BCBS of Virginia,FAP
BCBS of North Carolina,FAQ
Anthem Blue Cross of California,FAR
Anthem Blue Cross of California,FAS
Unassigned Prefix,FAT
Anthem BCBS of Virginia,FAU
Anthem BCBS of Ohio,FAV
BCBS of Georgia,FAW
BCBS of Illinois,FAX
BCBS of Georgia,FAY
BCBS of South Carolina,FAZ
BCBS of Western New York,FBA
Anthem Blue Cross of California,FBB
Wellmark BCBS,FBC
Anthem BCBS of Ohio,FBD
Unassigned Prefix,FBE
Anthem BCBS of Georgia,FBF
BCBS of Minnesota,FBG
BCBS of Florida,FBH
BCBS of Alabama,FBI
Anthem BCBS of Ohio,FBJ
Capital Blue Cross,FBK
BCBS of Georgia,FBL
BCBS of Kansas City,FBM
BCBS of South Carolina,FBN
BCBS of Minnesota,FBO
BCBS of Michigan,FBP
BCBS of Nebraska,FBQ
BCBS of Illinois,FBR
BCBS of Florida,FBS
Regence BCBS,FBT
Unassigned Prefix,FBU
Unassigned Prefix,FBV
BCBS of Illinois,FBW
Anthem BCBS of Missouri,FBX
BCBS of Arkansas,FBY
BCBS of Michigan,FBZ
Anthem BCBS of Ohio,FCA
Unassigned Prefix,FCB
BCBS of Illinois,FCC
BCBS of Illinois,FCD
BCBS of Kansas City,FCE
Carefirst BCBS of Maryland,FCF
BCBS of Arkansas Blue Advantage,FCG
BCBS of South Carolina,FCH
BCBS of Minnesota,FCI
Blue Cross of Idaho,FCJ
Unassigned Prefix,FCK
BCBS of Nebraska,FCL
Wellmark BCBS,FCM
Carefirst BCBS of Maryland,FCN
BCBS of South Carolina,FCO
Capital Blue Cross,FCP
BCBS of Minnesota,FCQ
Empire BCBS of New York,FCR
BCBS of Illinois,FCS
Anthem BCBS of Nevada,FCT
BCBS of Illinois,FCU
Unassigned Prefix,FCV
BCBS of Michigan,FCW
BCBS of Alabama,FCX
Anthem BCBS of Michigan,FCY
BCBS of South Carolina,FCZ
BCBS of Michigan,FDA
BCBS of Michigan,FDB
BCBS of Illinois,FDC
Empire BCBS of New York,FDD
BCBS of Illinois,FDE
Highmark BCBS,FDF
BCBS of Illinois,FDG
Highmark BCBS,FDH
Blue Shield of California,FDI
BCBS of Florida,FDJ
Anthem BCBS of Georgia,FDK
BCBS of South Carolina,FDL
Empire BCBS of New York,FDM
Wellmark BCBS,FDN
BCBS of North Carolina,FDO
Regence Blue Cross Blue Shield of Oregon,FDP
Wellmark BCBS,FDQ
BCBS of Georgia,FDR
Anthem Blue Cross of California,FDS
Empire BCBS of New York,FDT
Anthem BCBS of Ohio,FDU
Highmark BCBS,FDV
Anthem BCBS of Colorado,FDW
BCBS of Tennessee,FDX
Unassigned Prefix,FDY
Blue Shield of California,FDZ
BCBS of South Carolina,FEA
BCBS of Kansas City,FEB
Anthem BCBS of Virginia,FEC
Carefirst BCBS of Maryland,FED
BCBS of Florida,FEE
Anthem BCBS of Indiana,FEF
Carefirst BCBS of Maryland,FEG
Highmark BCBS,FEH
Regence Blue Cross Blue Shield of Oregon,FEI
Anthem BCBS of Missouri,FEJ
BCBS of Alabama,FEK
Anthem Blue Cross of California,FEL
Highmark BCBS,FEM
Unassigned Prefix,FEN
Horizon BCBS of New Jersey,FEO
Unassigned Prefix,FEP
Carefirst BCBS of Maryland,FEQ
