BCBS_Name,Acronym
Regence Blue Cross Blue Shield of Oregon,G2A
Blue Cross Blue Shield of Illinois,G2E
Blue Cross Blue Shield of Illinois,G2F
Anthem BCBS of Virginia,G2G
Highmark BCBS of Pennsylvania,G2H
Blue Cross Blue Shield of Illinois,G2K
Anthem Blue Cross of California,G2L
Independence Blue Cross,G2N
Regence Blue Cross Blue Shield of Oregon,G2P
Blue Cross Blue Shield of Illinois,G2R
Independence Blue Cross,G2T
Independence Blue Cross,G2V
Blue Cross Blue Shield of Montana,G2W
Blue Cross Blue Shield of Texas,G2X
Anthem BCBS of Connecticut,G2Y
Regence Blue Cross Blue Shield of Oregon,G3A
Regence Blue Cross Blue Shield of Oregon,G3C
Anthem BCBS of Virginia,G3F
Blue Cross Blue Shield of Minnesota,G3K
Anthem BCBS of Virginia,G3N
Anthem BCBS of Virginia,G3P
Blue Shield of Northeastern New York,G3T
Regence Blue Cross Blue Shield of Oregon,G3V
Anthem BCBS of Virginia,G3W
Horizon Blue Cross Blue Shield of New Jersey,G3Y
Anthem BCBS of Virginia,G3Z
Blue Cross Blue Shield of Illinois,G4C
Regence Blue Shield of Washington,G4F
Blue Cross Blue Shield of Texas,G4H
Anthem BCBS of Virginia,G4N
Blue Cross Blue Shield of Illinois,G4T
Blue Cross Blue Shield of Minnesota,G5A
Blue Cross Blue Shield of Texas,G5D
Blue Cross Blue Shield of Texas,G5E
Blue Cross Blue Shield of Texas,G5F
Blue Cross Blue Shield of Texas,G5G
Blue Cross Blue Shield of Texas,G5H
Blue Cross Blue Shield of Texas,G5K
Blue Cross Blue Shield of Texas,G5M
BCBS of Western New York,G5N
Blue Cross Blue Shield of Illinois,G5T
Anthem BCBS of Virginia,G6A
Blue Cross Blue Shield of Illinois,G6T
Horizon Blue Cross Blue Shield of New Jersey,G6W
Blue Cross Blue Shield of Massachusetts,G7A
Anthem BCBS of Virginia,G7C
Regence Blue Shield of Washington,G7E
BCBS of Western New York,G7P
Blue Cross Blue Shield of Illinois,G7T
BCBS of Montana,G8A
Blue Cross Blue Shield of Illinois,G8C
Blue Cross Blue Shield of Texas,G8H
Blue Cross Blue Shield of Illinois,G8T
Highmark BCBS of Pennsylvania,GAA
Blue Cross Blue Shield of Massachusetts,GAB
Blue Cross Blue Shield of Illinois,GAC
Blue Shield of California,GAD
Anthem Blue Cross of California,GAE
Blue Cross Blue Shield of Illinois,GAF
Blue Cross Blue Shield of Texas,GAG
Excellus BCBS,GAH
Blue Cross Blue Shield of Michigan,GAI
Wellmark BCBS,GAJ
Blue Cross Blue Shield of Massachusetts,GAK
Blue Cross Blue Shield of South Carolina,GAL
Blue Cross Blue Shield of Texas,GAM
Anthem BCBS of Georgia,GAN
Blue Cross Blue Shield of Massachusetts,GAO
Blue Cross Blue Shield of Georgia,GAP
Anthem BCBS of Georgia,GAQ
Anthem BCBS of Virginia,GAR
Blue Cross Blue Shield of Arkansas,GAS
BCBS of Alabama,GAT
CareFirst BCBS,GAU
Blue Cross Blue Shield of Georgia,GAV
Blue Cross Blue Shield of Massachusetts,GAW
Blue Cross Blue Shield of Illinois,GAX
Anthem BCBS of Ohio,GAY
Anthem BCBS of Virginia,GAZ
Blue Cross Blue Shield of Montana,GBA
Anthem Blue Cross of California,GBB
Wellmark BCBS,GBC
Blue Cross Blue Shield of Rhode Island,GBD
Blue Cross Blue Shield of Michigan,GBE
Blue Cross Blue Shield of Illinois,GBF
Blue Cross Blue Shield of Michigan,GBG
Blue Cross Blue Shield of Illinois,GBH
Blue Shield of California,GBI
Highmark BCBS of Pennsylvania,GBJ
Blue Shield of California,GBK
Blue Cross Blue Shield of Massachusetts,GBL
Anthem Blue Cross of California,GBM
Highmark BCBS of Pennsylvania,GBN
Blue Cross Blue Shield of Kansas City,GBO
Blue Cross Blue Shield of South Carolina,GBP
Anthem BCBS of Missouri,GBQ
Anthem BCBS of Missouri,GBR
Blue Cross Blue Shield of Minnesota,GBS
Anthem BCBS of Ohio,GBT
Anthem Blue Cross of California,GBU
Wellmark BCBS,GBV
Blue Cross Blue Shield of Illinois,GBW
Blue Cross Blue Shield of Illinois,GBX
CareFirst BCBS,GBY
Blue Cross Blue Shield of South Carolina,GBZ
BCBS of Alabama,GCA
Blue Cross Blue Shield of Texas,GCB
CareFirst BCBS,GCC
Anthem Blue Cross of California,GCD
CareFirst BCBS,GCE
Anthem Blue Cross of California,GCF
Blue Shield of California,GCG
Capital BlueCross,GCH
Blue Shield of California,GCI
Empire Blue Cross Blue Shield,GCJ
Blue Cross Blue Shield of Michigan,GCK
Blue Cross Blue Shield of South Carolina,GCL
Highmark BCBS of Pennsylvania,GCM
Anthem BCBS of Virginia,GCN
Capital BlueCross,GCO
Blue Cross Blue Shield of Illinois,GCP
Anthem BCBS of Ohio,GCQ
Wellmark BCBS,GCR
Blue Cross Blue Shield of Minnesota,GCS
Anthem Blue Cross of California,GCT
Anthem BCBS of Ohio,GCU
BCBS of Western New York,GCV
Wellmark BCBS,GCW
BCBS of Alabama,GCX
Unassigned,GCY
Blue Cross Blue Shield of Illinois,GCZ
BCBS of Western New York,GDA
Anthem Blue Cross of California,GDB
Anthem BCBS of Virginia,GDC
Anthem Blue Cross of California,GDD
Anthem BCBS of Ohio,GDE
Premera Blue Cross,GDF
CareFirst BCBS,GDG
Blue Cross Blue Shield of Georgia,GDH
BCBS of Western New York,GDI
Independence Blue Cross,GDJ
Blue Cross Blue Shield of North Carolina,GDK
Blue Cross Blue Shield of Michigan,GDL
Highmark BCBS of Pennsylvania,GDM
Blue Cross Blue Shield of Michigan,GDN
Wellmark BCBS,GDO
CareFirst BCBS,GDP
Anthem BCBS of Ohio,GDQ
Blue Cross Blue Shield of Minnesota,GDR
Empire Blue Cross Blue Shield,GDS
Wellmark BCBS,GDT
Blue Cross Blue Shield of Illinois,GDU
Anthem BCBS of Ohio,GDV
Wellmark BCBS,GDW
Blue Cross Blue Shield of Texas,GDX
BCBS of Western New York,GDY
CareFirst BCBS,GDZ
Independence Blue Cross,GEA
Highmark BCBS of Pennsylvania,GEB
BCBS of Alabama,GEC
Independence Blue Cross,GED
Blue Shield of California,GEE
Anthem Blue Cross of California,GEF
Anthem BCBS of Ohio,GEG
Anthem Blue Cross of California,GEH
Anthem BCBS of Kentucky,GEI
Blue Cross Blue Shield of Arkansas,GEJ
Empire Blue Cross Blue Shield,GEK
Unassigned,GEL
CareFirst BCBS,GEM
BCBS of Alabama,GEN
Anthem Blue Cross of California,GEO
BCBS of Alabama,GEP
Blue Cross Blue Shield of Georgia,GEQ
Unassigned,GER
Anthem Blue Cross of California,GES
Wellmark BCBS,GET
Blue Cross Blue Shield of Illinois,GEU
Anthem BCBS of Virginia,GEV
Unassigned,GEW
BCBS of Alabama,GEX
Unassigned,GEY
Blue Cross Blue Shield of Minnesota,GEZ
Anthem BCBS of Georgia,GFA
Anthem Blue Cross of California,GFB
Blue Cross Blue Shield of South Carolina,GFC
Capital BlueCross,GFD
Anthem BCBS of Ohio,GFE
Anthem Blue Cross of California,GFF
Wellmark BCBS,GFG
Anthem BCBS of Nevada,GFH
