BCBS_Name,Acronym
Blue Cross Blue Shield of Illinois,H2A
BCBS of Western New York,H2B
Blue Cross Blue Shield of Illinois,H2C
Blue Cross Blue Shield of Illinois,H2D
Anthem BCBS of Indiana,H2F
Blue Cross Blue Shield of Texas,H2G
Blue Cross Blue Shield of Arkansas,H2H
Blue Cross Blue Shield of Illinois,H2J
Blue Cross Blue Shield of Illinois,H2K
Anthem BCBS of Indiana,H2L
Anthem BCBS of Virginia,H2M
Horizon Blue Cross Blue Shield of New Jersey,H2N
Highmark BCBS of Pennsylvania,H2O
Blue Cross Blue Shield of Illinois,H2P
Anthem BCBS of Indiana,H2Q
BCBS of Western New York,H2R
Anthem BCBS of Indiana,H2S
Anthem BCBS of Indiana,H2U
Horizon Blue Cross Blue Shield of New Jersey,H2W
Blue Cross Blue Shield of Massachusetts,H2X
Horizon Blue Cross Blue Shield of New Jersey,H2Y
Horizon Blue Cross Blue Shield of New Jersey,H2Z
Highmark BCBS of Pennsylvania,H3A
Highmark BCBS of Pennsylvania,H3B
Anthem BCBS of Virginia,H3C
Blue Cross Blue Shield of Illinois,H3D
Highmark BCBS of Pennsylvania,H3E
Anthem BCBS of Virginia,H3F
Premera Blue Cross,H3G
Anthem BCBS of Virginia,H3H
Highmark BCBS of Pennsylvania,H3I
Anthem BCBS of Virginia,H3J
Anthem BCBS of Virginia,H3K
Highmark BCBS of Pennsylvania,H3L
Blue Cross Blue Shield of Texas,H3M
Blue Cross of California,H3N
Highmark BCBS of Pennsylvania,H3P
Highmark BCBS of Pennsylvania,H3Q
Blue Cross Blue Shield of Illinois,H3R
Horizon Blue Cross Blue Shield of New Jersey,H3S
Blue Cross Blue Shield of Illinois,H3U
Anthem BCBS of Virginia,H3Z
Blue Cross Blue Shield of Illinois,H4A
Blue Cross Blue Shield of Illinois,H4B
Anthem BCBS of Virginia,H4C
Blue Cross Blue Shield of Illinois,H4D
Highmark BCBS of Pennsylvania,H4F
Blue Cross of California,H4G
Blue Cross Blue Shield of Rhode Island,H4H
Highmark BCBS of Pennsylvania,H4J
Highmark BCBS of Pennsylvania,H4K
Anthem BCBS of Virginia,H4M
Blue Cross of California,H4N
Blue Cross of California,H4O
Anthem BCBS of Colorado,H4R
Anthem BCBS of Indiana,H4S
Blue Cross Blue Shield of Texas,H4T
Blue Cross Blue Shield of Texas,H5D
Anthem BCBS of Virginia,H5G
Horizon Blue Cross Blue Shield of New Jersey,H5K
Anthem BCBS of Virginia,H5N
Blue Cross of California,H5P
Horizon Blue Cross Blue Shield of New Jersey,H5R
Anthem BCBS of Virginia,H5T
Blue Cross Blue Shield of Illinois,H6A
Anthem BCBS of Virginia,H6C
Blue Cross of California,H6D
Empire Blue Cross Blue Shield,H6F
Blue Cross of California,H6G
Regence Blue Cross Blue Shield of Oregon,H6H
Anthem BCBS of Virginia,H6N
Blue Cross Blue Shield of Massachusetts,H6P
Horizon Blue Cross Blue Shield of New Jersey,H7B
Blue Cross Blue Shield of Illinois,H7C
Blue Cross Blue Shield of Illinois,H7D
Regence Blue Shield of Washington,H7G
Horizon Blue Cross Blue Shield of New Jersey,H7J
Horizon Blue Cross Blue Shield of New Jersey,H7P
Anthem BCBS of Virginia,H8A
Blue Cross Blue Shield of Illinois,H8D
Blue Cross Blue Shield of Illinois,H8L
Blue Cross of California,H8P
Blue Cross Blue Shield of Illinois,H9K
Horizon Blue Cross Blue Shield of New Jersey,HAA
Horizon Blue Cross Blue Shield of New Jersey,HAB
Horizon Blue Cross Blue Shield of New Jersey,HAC
CareFirst BCBS,HAD
Blue Cross Blue Shield of Massachusetts,HAE
Horizon Blue Cross Blue Shield of New Jersey,HAF
Blue Cross of California,HAG
Anthem BCBS of Ohio,HAH
Independence Blue Cross,HAI
Independence Blue Cross,HAJ
Unassigned,HAK
Blue Cross Blue Shield of Minnesota,HAL
Horizon Blue Cross Blue Shield of New Jersey,HAM
Unassigned,HAN
Blue Cross Blue Shield of Michigan,HAO
Blue Cross Blue Shield of Oklahoma,HAP
Horizon Blue Cross Blue Shield of New Jersey,HAQ
Regence Blue Shield of Idaho,HAR
Blue Cross Blue Shield of Massachusetts,HAS
Anthem BCBS of Ohio,HAT
Anthem BCBS of Nevada,HAU
Blue Cross Blue Shield of Illinois,HAV
Blue Cross Blue Shield of Michigan,HAW
Horizon Blue Cross Blue Shield of New Jersey,HAX
Blue Cross Blue Shield of Texas,HAY
Horizon Blue Cross Blue Shield of New Jersey,HAZ
Anthem BCBS of Connecticut,HBA
Blue Cross Blue Shield of Illinois,HBB
Highmark BCBS of Pennsylvania,HBC
Horizon Blue Cross Blue Shield of New Jersey,HBD
Highmark BCBS of Pennsylvania,HBE
Blue Cross Blue Shield of Georgia,HBF
CareFirst BCBS,HBG
Horizon Blue Cross Blue Shield of New Jersey,HBH
Unassigned,HBI
Blue Cross Blue Shield of Arkansas,HBJ
Horizon Blue Cross Blue Shield of New Jersey,HBK
Anthem BCBS of Missouri,HBL
Horizon Blue Cross Blue Shield of New Jersey,HBM
Blue Cross Blue Shield of Georgia,HBN
Regence Blue Cross Blue Shield of Oregon,HBO
Blue Cross Blue Shield of Minnesota,HBP
Blue Cross of California,HBQ
Blue Cross Blue Shield of Massachusetts,HBR
Blue Cross Blue Shield of Arkansas,HBS
Blue Cross Blue Shield of Texas,HBT
Blue Cross Blue Shield of Georgia,HBU
Blue Cross of California,HBV
Blue Cross Blue Shield of North Carolina,HBW
Horizon Blue Cross Blue Shield of New Jersey,HBX
Horizon Blue Cross Blue Shield of New Jersey,HBY
Blue Cross Blue Shield of Arkansas,HBZ
Blue Cross Blue Shield of Minnesota,HCA
Blue Cross Blue Shield of Texas,HCB
CareFirst BCBS,HCC
Horizon Blue Cross Blue Shield of New Jersey,HCD
BCBS of Tennessee,HCE
Anthem BCBS of Wisconsin,HCF
Wellmark BCBS,HCG
CareFirst BCBS,HCH
