BCBS_Name,Acronym
Blue Shield of California,I2A
Anthem BCBS of Colorado,I2C
Blue Cross of California,I2F
Blue Cross of California,I2I
Regence BCBS,I2P
Regence BCBS,I2T
Anthem Blue Cross of California,I2V
Regence BCBS,I2W
Blue Cross Blue Shield of Alabama,I3H
Capital Blue Cross,I3L
Anthem BCBS of Virginia,I3T
Regence BCBS,I3W
Anthem BCBS of Virginia,I4A
Anthem BCBS of Wisconsin,IAA
Wellmark BCBS,IAB
Regence BCBS,IAC
Anthem BCBS of Indiana,IAD
Blue Cross Blue Shield of Michigan,IAE
BCBS of Western New York,IAF
Anthem BCBS of Virginia,IAG
Wellmark BCBS,IAH
Blue Cross Blue Shield of South Carolina,IAI
CareFirst BCBS,IAJ
Blue Shield of California,IAK
Wellmark BCBS,IAL
Blue Shield of California,IAM
Unassigned,IAN
BCBS of Western New York,IAO
Wellmark BCBS,IAP
Blue Cross Blue Shield of Nebraska,IAQ
Blue Cross Blue Shield of Alabama,IAR
Blue Cross Blue Shield of Massachusetts,IAS
Empire Blue Cross Blue Shield,IAT
Blue Cross Blue Shield of Nebraska,IAU
Wellmark BCBS,IAV
Wellmark BCBS,IAW
Wellmark BCBS,IAX
Blue Cross Blue Shield of South Carolina,IAY
Wellmark BCBS,IAZ
Blue Cross Blue Shield of Illinois,IBA
Horizon BCBS of New Jersey,IBB
Anthem BCBS of Wisconsin,IBC
Anthem BCBS of Wisconsin,IBD
Blue Cross Blue Shield of Illinois,IBE
Wellmark BCBS,IBF
Blue Cross Blue Shield of Illinois,IBG
Blue Cross Blue Shield of Alabama,IBH
Wellmark BCBS,IBI
Blue Cross Blue Shield of Michigan,IBJ
Blue Cross of California,IBK
Independence Blue Cross FOC,IBL
Blue Shield of California,IBM
Unassigned,IBN
Independence Blue Cross FOC,IBO
Wellmark BCBS,IBP
Regence BCBS,IBQ
Blue Cross Blue Shield of Michigan,IBR
Anthem BCBS of Georgia,IBS
Blue Cross Blue Shield of Illinois,IBT
Blue Cross Blue Shield of Alabama,IBU
Blue Cross Blue Shield of Massachusetts,IBV
Blue Cross Blue Shield of Illinois,IBW
Blue Cross of California,IBX
Unassigned,IBY
Regence BCBS,IBZ
CareFirst BCBS,ICA
Blue Cross Blue Shield of Illinois,ICB
Anthem BCBS of Colorado,ICC
CareFirst BCBS,ICD
CareFirst BCBS,ICE
CareFirst BCBS,ICF
Blue Cross Blue Shield of South Carolina,ICG
Anthem BCBS of Virginia,ICH
Blue Cross Blue Shield of South Carolina,ICI
Anthem BCBS of Georgia,ICJ
CareFirst BCBS,ICK
CareFirst BCBS,ICL
Blue Shield of California,ICM
Anthem BCBS of Georgia,ICN
Blue Cross Blue Shield of North Carolina,ICO
Anthem BCBS of Georgia,ICP
Anthem BCBS of Virginia,ICQ
Anthem BCBS of Ohio,ICR
Anthem BCBS of Missouri,ICS
BCBS of Western New York,ICT
Regence BCBS,ICU
Blue Cross Blue Shield of Michigan,ICV
Blue Cross Blue Shield of Massachusetts,ICW
Anthem BCBS of Wisconsin,ICX
Anthem BCBS of Ohio,ICY
CareFirst BCBS,ICZ
Blue Cross of Idaho,IDA
Blue Cross Blue Shield of South Carolina,IDB
Blue Cross of California,IDC
Anthem BCBS of Virginia,IDD
Blue Cross of Idaho,IDE
Blue Cross of Idaho,IDF
CareFirst BCBS,IDG
Highmark BCBS of Pennsylvania,IDH
Blue Shield of California,IDI
Anthem BCBS of Virginia,IDJ
Empire Blue Cross Blue Shield,IDK
Blue Cross of Idaho,IDL
Blue Cross of Idaho,IDM
Blue Cross of Idaho,IDN
Blue Cross Blue Shield of South Carolina,IDO
Blue Cross of Idaho,IDP
Anthem BCBS of Virginia,IDQ
Blue Cross of California,IDR
Blue Cross Blue Shield of South Carolina,IDS
Anthem BCBS of Virginia,IDT
Blue Cross Blue Shield of South Carolina,IDU
Blue Cross of Idaho,IDV
Unassigned,IDW
Blue Cross Blue Shield of Illinois,IDX
Blue Cross Blue Shield of South Carolina,IDY
Wellmark BCBS,IDZ
Regence BCBS,IEA
Anthem BCBS of Indiana,IEB
Blue Shield of California,IEC
Anthem BCBS of Indiana,IED
Unassigned,IEE
Blue Cross Blue Shield of Massachusetts,IEF
CareFirst BCBS,IEG
Premera Blue Cross,IEH
Independence Blue Cross FOC,IEI
Blue Cross Blue Shield of South Carolina,IEJ
CareFirst BCBS,IEK
Blue Cross Blue Shield of Illinois,IEL
Blue Shield of Northeastern New York,IEM
Blue Cross of California,IEN
Blue Cross Blue Shield of South Carolina,IEO
Blue Cross Blue Shield of Louisiana,IEP
Empire Blue Cross Blue Shield,IEQ
Anthem BCBS of Virginia,IER
Blue Cross Blue Shield of Texas,IES
Anthem BCBS of Connecticut,IET
Blue Cross Blue Shield of Louisiana,IEU
Blue Cross Blue Shield of Alabama,IEV
Blue Cross Blue Shield of Illinois,IEW
Blue Cross Blue Shield of Michigan,IEX
Blue Cross Blue Shield of South Carolina,IEY
CareFirst BCBS,IEZ
Anthem BCBS of Georgia,IFA
Wellmark BCBS,IFB
BCBS of Western New York,IFC
Regence BCBS,IFD
Anthem BCBS of Georgia,IFE
Wellmark BCBS,IFF
Unassigned,IFG
Highmark BCBS of Pennsylvania,IFH
Highmark BCBS of Pennsylvania,IFI
Highmark BCBS of Pennsylvania,IFJ
Highmark BCBS of Pennsylvania,IFK
Regence BCBS,IFL
Blue Cross of California,IFM
Highmark BCBS of Pennsylvania,IFN
Highmark BCBS of Pennsylvania,IFO
Anthem BCBS of Nevada,IFP
CareFirst BCBS,IFQ
Anthem BCBS of Kentucky,IFR
Blue Cross Blue Shield of Kansas City,IFS
Highmark BCBS of Pennsylvania,IFT
Highmark BCBS of Pennsylvania,IFU
Highmark BCBS of Pennsylvania,IFV
Highmark BCBS of Pennsylvania,IFW
Anthem BCBS of Ohio,IFX
CareFirst BCBS,IFY
Blue Cross Blue Shield of South Carolina,IFZ
Independence Blue Cross FOC,IGA
Anthem BCBS of Georgia,IGB
CareFirst BCBS,IGC
Wellmark BCBS,IGD
Blue Cross Blue Shield of Alabama,IGE
Blue Shield of California,IGF
Blue Shield of California,IGG
Independence Blue Cross FOC,IGH
Wellmark BCBS,IGI
Independence Blue Cross FOC,IGJ
Highmark BCBS of Pennsylvania,IGK
Highmark BCBS of Pennsylvania,IGL
CareFirst BCBS,IGM
Highmark BCBS of Pennsylvania,IGN
BCBS of Western New York,IGO
Wellmark BCBS,IGP
Highmark BCBS of Pennsylvania,IGQ
Empire Blue Cross Blue Shield,IGR
Blue Cross Blue Shield of Alabama,IGS
Blue Shield of California,IGT
Blue Cross Blue Shield of Louisiana,IGU
Highmark BCBS of Pennsylvania,IGV
CareFirst BCBS,IGW
CareFirst BCBS,IGX
CareFirst BCBS,IGY
Highmark BCBS of Pennsylvania,IGZ
Blue Shield of California,IHA
Wellmark BCBS,IHB
CareFirst BCBS,IHC
