BCBS_Name,Acronym
Blue Cross Blue Shield of Texas,K2A
Regence Blue Cross Blue Shield of Oregon,K2C
Blue Cross Blue Shield of Illinois,K2D
Blue Cross Blue Shield of Illinois,K2F
BCBS of Western New York,K2H
Blue Cross Blue Shield of Vermont,K2N
Premera Blue Cross,K2S
Blue Cross Blue Shield of Minnesota,K2T
Blue Cross Blue Shield of Illinois,K2X
Blue Cross of California,K3A
Empire Blue Cross Blue Shield,K3B
Anthem BCBS of Virginia,K3C
Regence Blue Cross Blue Shield of Oregon,K3G
Highmark BCBS of Pennsylvania,K3H
Premera Blue Cross,K3S
Blue Cross of California,K3T
Regence Blue Shield of Washington,K3V
Empire Blue Cross Blue Shield,K4A
Regence Blue Shield of Washington,K4F
Blue Cross Blue Shield of Massachusetts,K4S
Blue Cross of California,K5A
Blue Cross Blue Shield of Illinois,K5D
Blue Cross Blue Shield of Texas,K7X
Blue Cross Blue Shield of Arizona,K8Y
Blue Cross Blue Shield of Arizona,K8Z
Unassigned,KAA
Wellmark BCBS,KAB
Blue Cross Blue Shield of Texas,KAC
Blue Cross Blue Shield of Michigan,KAD
Blue Cross Blue Shield of Illinois,KAE
Blue Cross Blue Shield of South Carolina,KAF
Anthem BCBS of Georgia,KAG
Anthem BCBS of Indiana,KAH
Blue Cross Blue Shield of Arizona,KAI
Blue Cross Blue Shield of Louisiana,KAJ
BCBS of Western New York,KAK
Blue Cross Blue Shield of Alabama,KAL
Wellmark BCBS,KAM
Unassigned,KAN
Blue Cross Blue Shield of Minnesota,KAO
Independence Blue Cross,KAP
Blue Cross Blue Shield of Michigan,KAQ
Unassigned,KAR
Blue Cross of California,KAS
Blue Cross Blue Shield of Illinois,KAT
Blue Cross Blue Shield of Illinois,KAU
Regence Blue Cross Blue Shield of Oregon,KAV
Anthem BCBS of Georgia,KAW
Blue Cross of California,KAX
Excellus BCBS,KAY
Blue Cross Blue Shield of Illinois,KAZ
Blue Cross Blue Shield of Missouri,KBA
Anthem BCBS of Colorado,KBB
Anthem BCBS of Virginia,KBC
Blue Cross Blue Shield of South Carolina,KBD
Anthem BCBS of Wisconsin,KBE
Independence Blue Cross,KBF
Regence Blue Cross Blue Shield of Oregon,KBG
Horizon Blue Cross Blue Shield of New Jersey,KBH
Capital Blue Cross,KBI
Empire Blue Cross Blue Shield,KBJ
Blue Cross of California,KBK
Anthem BCBS of Wisconsin,KBL
Blue Cross Blue Shield of Nebraska,KBM
Unassigned,KBN
