BCBS_Name,Acronym
Premera Blue Cross,L2S
Premera Blue Cross,L3M
Premera Blue Cross,L4D
Premera Blue Cross,L4N
Premera Blue Cross,L5N
Premera Blue Cross,L5T
BCBS of Illinois,LAA
BCBS of Michigan,LAB
Anthem,LAC
Unassigned Prefix,LAD
BCBS of Georgia,LAE
Anthem BCBS of Virginia,LAF
BCBS of South Carolina,LAG
Anthem Blue Cross of California,LAH
BCBS of New Mexico,LAJ
BCBS of Illinois,LAK
Unassigned Prefix,LAL
Unassigned Prefix,LAM
Anthem,LAN
Unassigned Prefix,LAO
Blue Shield of California,LAP
BCBS of Illinois,LAQ
BCBS of Illinois,LAR
BCBS of Texas,LAS
Unassigned Prefix,LAT
Unassigned Prefix,LAU
Anthem Blue Cross of California,LAV
Premera Blue Cross,LAW
BCBS of Michigan,LAX
Unassigned Prefix,LAY
Blue Shield of California,LAZ
Capital Blue Cross,LBA
"Anthem Central Region (OH, IN, KY)",LBB
Capital Blue Cross,LBC
"Anthem Central Region (OH, IN, KY)",LBD
BCBS of Tennessee,LBE
BCBS of Tennessee,LBF
Premera Blue Cross,LBG
Carefirst BCBS of Maryland,LBH
"Anthem Central Region (OH, IN, KY)",LBI
BCBS of Minnesota,LBJ
Blue Shield of California,LBK
BCBS of Massachusetts,LBL
Highmark BCBS,LBM
Anthem,LBN
Premera Blue Cross,LBO
BCBS of Oklahoma,LBP
Unassigned Prefix,LBQ
Premera Blue Cross,LBR
BCBS of Massachusetts,LBS
Premera Blue Cross,LBT
Anthem BCBS of Virginia,LBU
BCBS of South Carolina,LBV
Unassigned Prefix,LBW
Unassigned Prefix,LBX
Carefirst BCBS of Maryland,LBY
Anthem,LBZ
Wellmark BCBS,LCA
BCBS of Illinois,LCB
BCBS of Georgia,LCC
Anthem,LCD
BCBS of South Carolina,LCE
Unassigned Prefix,LCF
Anthem Blue Cross of California,LCG
BCBS of Illinois,LCH
Regence Blue Shield of Washington,LCI
BCBS of Florida,LCJ
BCBS of Florida,LCK
Anthem,LCL
BCBS of Minnesota,LCM
BCBS of Tennessee,LCN
BCBS of Alabama,LCO
BCBS of Nebraska,LCP
Unassigned Prefix,LCQ
Anthem Blue Cross of California,LCR
Highmark BCBS,LCS
Unassigned Prefix,LCT
Wellmark BCBS,LCU
BCBS of Florida,LCV
Wellmark BCBS,LCW
BCBS of Kansas City,LCX
BCBS of Florida,LCY
"Anthem Central Region (OH, IN, KY)",LCZ
Regence BCBS of Utah,LDA
Anthem Blue Cross of California,LDB
Unassigned Prefix,LDC
Highmark BCBS,LDD
BCBS of Texas,LDE
Unassigned Prefix,LDF
Wellmark BCBS,LDH
BCBS of Minnesota,LDI
Unassigned Prefix,LDJ
Unassigned Prefix,LDK
"Anthem Central Region (OH, IN, KY)",LDL
BCBS of Michigan,LDM
Unassigned Prefix,LDN
BCBS of Georgia,LDO
Unassigned Prefix,LDP
"Anthem Central Region (OH, IN, KY)",LDQ
Anthem,LDR
Unassigned Prefix,LDS
Unassigned Prefix,LDT
Anthem Blue Cross of California,LDU
Unassigned Prefix,LDV
Unassigned Prefix,LDW
Unassigned Prefix,LDX
Anthem Blue Cross of California,LDY
"Anthem Central Region (OH, IN, KY)",LDZ
"Anthem Central Region (OH, IN, KY)",LEA
Anthem Blue Cross of California,LEB
BCBS of Illinois,LED
Premera Blue Cross,LEE
Anthem Blue Cross of California,LEF
BCBS of Illinois,LEG
Anthem Blue Cross of California,LEH
Blue Shield of Northeastern New York,LEJ
BCBS of Minnesota,LEK
BCBS of Illinois,LEL
Unassigned Prefix,LEM
BCBS of Michigan,LEO
Unassigned Prefix,LEP
Unassigned Prefix,LEQ
BCBS of Massachusetts,LER
Horizon BCBS of New Jersey,LES
BCBS of Western New York,LET
Unassigned Prefix,LEU
BCBS of Louisiana,LEV
Anthem Blue Cross of California,LEW
Anthem Blue Cross of California,LEX
Unassigned Prefix,LEY
Unassigned Prefix,LEZ
BCBS of Georgia,LFA
BCBS of Illinois,LFB
BCBS of Minnesota,LFC
BCBS of Minnesota,LFE
Wellmark BCBS,LFF
Anthem,LFG
BCBS of Florida,LFH
BCBS of Michigan,LFI
Anthem Blue Cross of California,LFJ
BCBS of Texas,LFK
Wellmark BCBS,LFL
BCBS of Illinois,LFM
Blue Cross of Idaho,LFN
Unassigned Prefix,LFO
BCBS of South Carolina,LFP
BCBS of North Carolina,LFR
Independence Blue Cross,LFS
BCBS of Minnesota,LFT
"Anthem Central Region (OH, IN, KY)",LFU
Unassigned Prefix,LFV
Anthem,LFW
BCBS of Kansas City,LFX
Anthem Blue Cross of California,LFY
