BCBS_Name,Acronym
Blue Cross Blue Shield of Illinois,M2C
Blue Cross Blue Shield of Illinois,M2D
Blue Cross Blue Shield of Texas,M2E
Blue Cross Blue Shield of Texas,M2F
Blue Cross Blue Shield of Texas,M2G
Regence Blue Cross Blue Shield of Oregon,M2H
BCBS of Western New York,M2I
Blue Cross Blue Shield of Illinois,M2J
BCBS of Arizona,M2K
Blue Cross Blue Shield of Massachusetts,M2L
Anthem BCBS of Wisconsin,M2N
Regence Blue Cross Blue Shield of Oregon,M2P
Anthem BCBS of Wisconsin,M2Q
Blue Cross Blue Shield of Texas,M2R
Blue Cross Blue Shield of Illinois,M2S
Regence Blue Cross Blue Shield of Oregon,M2T
Anthem BCBS of Wisconsin,M2U
BCBS if Arizona,M2V
Blue Cross Blue Shield of Rhode Island,M2W
Blue Cross Blue Shield of Illinois,M2X
Regence Blue Cross Blue Shield of Oregon,M2Y
BCBS of Kansas,M3A
BCBS of Western New York,M3B
Blue Cross Blue Shield of Rhode Island,M3C
Regence Blue Cross Blue Shield of Oregon,M3D
Blue Cross Blue Shield of Illinois,M3E
Blue Cross Blue Shield of Texas,M3F
Blue Cross Blue Shield of Rhode Island,M3G
Blue Cross Blue Shield of Minnesota,M3H
Empire Blue Cross Blue Shield,M3J
Anthem BCBS of Wisconsin,M3K
Blue Cross Blue Shield of Michigan,M3L
Regence Blue Cross Blue Shield of Oregon,M3M
BCBS of Arizona,M3P
Blue Cross Blue Shield of Texas,M3R
Blue Cross Blue Shield of Illinois,M3S
Anthem BCBS of Georgia,M3T
Anthem BCBS of Indiana,M3U
BCBS of Arizona,M3V
Regence Blue Cross Blue Shield of Oregon,M3W
Anthem BCBS of Wisconsin,M3X
Anthem BCBS of Georgia,M3Y
Anthem BCBS of Georgia,M3Z
Highmark BCBS of Pennsylvania,M4A
Highmark BCBS of Pennsylvania,M4B
Anthem BCBS of Kentucky,M4C
Regence Blue Cross Blue Shield of Oregon,M4D
Blue Cross Blue Shield of Texas,M4F
Anthem BCBS of Virginia,M4G
Anthem BCBS of Missouri,M4H
Highmark BCBS of Pennsylvania,M4L
Anthem BCBS of Missouri,M4M
Anthem BCBS of Virginia,M4N
Blue Cross Blue Shield of Texas,M4P
Blue Cross Blue Shield of Michigan,M4Q
Blue Shield of Northeastern New York,M4R
Blue Cross Blue Shield of Illinois,M4S
Regence Blue Cross Blue Shield of Oregon,M4T
Blue Cross Blue Shield of Minnesota,M4U
Blue Cross of Idaho,M4Y
Blue Cross Blue Shield of Minnesota,M5A
Anthem BCBS of Missouri,M5C
Anthem BCBS of Missouri,M5D
Anthem BCBS of Missouri,M5E
Blue Cross Blue Shield of Texas,M5F
Blue Cross Blue Shield of Illinois,M5K
Blue Cross Blue Shield of Texas,M5M
BCBS of Western New York,M5R
Blue Cross Blue Shield of Illinois,M5X
Blue Cross Blue Shield of Texas,M6A
Empire Blue Cross Blue Shield,M6C
Blue Cross Blue Shield of Texas,M6F
Blue Cross Blue Shield of Illinois,M6S
Anthem BCBS of Ohio,M6U
Blue Cross of California,M7A
Premera Blue Cross,M7B
Empire Blue Cross Blue Shield,M7C
Blue Cross Blue Shield of North Dakota,M7D
Blue Cross of California,M7E
Blue Cross Blue Shield of Texas,M7F
Anthem BCBS of Colorado,M7M
Blue Cross Blue Shield of Illinois,M7S
Anthem BCBS of Missouri,M7V
Anthem BCBS of Indiana,M7W
Anthem BCBS of Kentucky,M7X
Anthem BCBS of Colorado,M8A
Blue Cross Blue Shield of Texas,M8F
Empire Blue Cross Blue Shield,M8H
Blue Cross Blue Shield of Illinois,M8S
Anthem BCBS of Maine,M8W
Anthem BCBS of New Hampshire,M8X
Unassigned Prefix,M8Z
Empire Blue Cross Blue Shield,M9A
Empire Blue Cross Blue Shield,M9C
Blue Cross Blue Shield of Texas,M9F
Blue Cross of California,M9N
Blue Cross Blue Shield of Illinois,M9S
Blue Cross Blue Shield of Texas,M9T
Unassigned Prefix,M9X
Premera Blue Cross,MAA
BCBS of Florida,MAB
BCBS of Minnesota,MAC
Premera Blue Cross,MAD
Anthem BCBS of Ohio,MAE
Carefirst BCBS of Maryland,MAF
BCBS of New Mexico,MAG
Anthem BCBS of Virginia,MAH
Wellmark BCBS,MAI
Blue Shield of California,MAJ
Anthem BCBS of Kentucky,MAK
Carefirst BCBS of Maryland,MAL
Carefirst BCBS,MAM
Carefirst BCBS of Maryland,MAN
BCBS of South Carolina,MAO
Anthem BCBS of Colorado,MAP
BCBS of Florida,MAQ
Anthem BCBS of Georgia,MAR
Anthem BCBS of Georgia,MAS
BCBS of Texas,MAT
Wellmark BCBS,MAU
Anthem BCBS of Ohio,MAV
Carefirst BCBS of Maryland,MAW
BCBS of Illinois,MAX
BCBS of Nebraska,MAY
Wellmark BCBS,MAZ
Anthem BCBS of Ohio,MBA
Anthem BCBS of Colorado,MBB
BCBS of Tennessee,MBC
Carefirst BCBS of Maryland,MBD
BCBS of South Carolina,MBE
Anthem Blue Cross of California,MBF
BCBS of Alabama,MBG
BCBS of Alabama,MBH
BCBS of Michigan,MBI
Regence Blue Shield of Washington,MBJ
Empire BCBS of New York,MBK
Anthem Blue Cross of California,MBL
BCBS of Illinois,MBM
BCBS of Michigan,MBN
BCBS of Florida,MBO
