BCBS_Name,Acronym
Premera Blue Cross,N2D
Premera Blue Cross,N3T
Premera Blue Cross,N4S
Premera Blue Cross,N6P
Premera Blue Cross,N8P
Wellmark BCBS,NAA
BCBS of Arkansas Blue Advantage,NAB
BCBS of Alabama,NAC
BCBS of Tennessee,NAD
Wellmark BCBS,NAE
BCBS of Alabama,NAF
BCBS of Western New York,NAG
Anthem BCBS of Virginia,NAH
BCBS of Texas,NAI
Anthem BCBS of Kentucky,NAJ
Carefirst BCBS of Maryland,NAK
BCBS of Michigan,NAL
Blue Cross of Idaho,NAM
BCBS of Massachusetts,NAN
Blue Shield of California,NAO
Highmark BCBS,NAP
Unassigned Prefix,NAQ
Wellmark BCBS,NAR
Regence BCBS of Washington,NAS
Horizon BCBS of New Jersey,NAT
Excellus BCBS of New York,NAU
BCBS of Massachusetts,NAV
BCBS of Michigan,NAW
BCBS of Michigan,NAX
Premera Blue Cross,NAY
Blue Shield of California,NAZ
Wellmark BCBS,NBA
Regence Blue Cross Blue Shield of Oregon,NBB
BCBS of Delaware,NBC
Wellmark BCBS,NBD
BCBS of Arizona,NBE
Blue Shield of California,NBF
Anthem Blue Cross of California,NBG
Anthem BCBS of Wisconsin,NBH
BCBS of Michigan,NBI
Unassigned Prefix,NBJ
BCBS of Nebraska,NBK
BCBS of Tennessee,NBL
Wellmark BCBS,NBM
BCBS of Nebraska,NBN
Anthem BCBS of Colorado,NBO
Empire BCBS of New York,NBP
BCBS of North Carolina,NBQ
BCBS of Illinois,NBR
Unassigned Prefix,NBS
Excellus BCBS of New York,NBT
BCBS of Michigan,NBU
Unassigned Prefix,NBV
BCBS of Illinois,NBW
Anthem BCBS of Virginia,NBX
BCBS of Massachusetts,NBY
Horizon BCBS of New Jersey,NBZ
BCBS of Tennessee,NCA
BCBS of Illinois,NCB
Unassigned Prefix,NCC
BCBS of Delaware,NCD
BCBS of Michigan,NCE
Anthem Blue Cross of California,NCF
Wellmark BCBS,NCG
BCBS of Michigan,NCH
BCBS of Illinois,NCI
BCBS of North Carolina,NCJ
BCBS of North Carolina,NCK
Horizon BCBS of New Jersey,NCL
Empire BCBS of New York,NCM
BCBS of Illinois,NCN
Blue Shield of California,NCO
BCBS of North Carolina,NCP
BCBS of Delaware,NCQ
BCBS of North Carolina,NCR
BCBS of Arkansas Blue Advantage,NCS
Premera Blue Cross,NCT
Horizon BCBS of New Jersey,NCU
Blue Shield of California,NCV
Premera Blue Cross,NCW
BCBS of Illinois,NCX
BCBS of Illinois,NCY
Premera Blue Cross,NCZ
Unassigned Prefix,NDA
Anthem BCBS of Wisconsin,NDB
Unassigned Prefix,NDC
Horizon BCBS of New Jersey,NDD
BCBS of Michigan,NDE
Anthem BCBS of Indiana,NDF
Anthem Blue Cross of California,NDG
Unassigned Prefix,NDH
Carefirst BCBS of Maryland,NDI
BCBS of Texas,NDJ
Anthem BCBS of New Hampshire,NDK
Unassigned Prefix,NDL
Anthem BCBS of Wisconsin,NDM
Unassigned Prefix,NDN
Blue Shield of California,NDO
Carefirst Administrators,NDP
Blue Shield of California,NDQ
Highmark BCBS,NDR
Unassigned Prefix,NDS
Anthem Blue Cross of California,NDT
Anthem Blue Cross of California,NDU
Anthem Blue Cross of California,NDV
Unassigned Prefix,NDW
Unassigned Prefix,NDX
Wellmark BCBS,NDY
Unassigned Prefix,NDZ
BCBS of Illinois,NEA
Horizon BCBS of New Jersey,NEB
BCBS of Illinois,NEC
BCBS of Nebraska,NED
BCBS of Western New York,NEE
BCBS of Western New York,NEF
BCBS of Florida,NEG
Unassigned Prefix,NEH
BCBS of Illinois,NEI
Unassigned Prefix,NEJ
BCBS of Tennessee,NEK
BCBS of Alabama,NEL
BCBS of Delaware,NEM
BCBS of South Carolina,NEN
Unassigned Prefix,NEO
BCBS of Minnesota,NEP
BCBS of Nebraska,NEQ
Regence BCBS,NER
BCBS of South Carolina,NES
Anthem BCBS of Connecticut,NET
BCBS of Minnesota,NEU
Anthem BCBS of Kentucky,NEV
BCBS of Alabama,NEW
Regence BCBS of Oregon,NEX
Unassigned Prefix,NEY
BCBS of Tennessee,NEZ
BCBS of Illinois,NFA
BCBS of Western New York,NFB
Horizon BCBS of New Jersey,NFC
BCBS of Western New York,NFD
Horizon BCBS of New Jersey,NFE
Regence BCBS,NFF
BCBS of Illinois,NFG
Carefirst Administrators,NFH
BCBS of Vermont,NFI
Excellus BCBS of New York,NFJ
Premera Blue Cross,NFK
BCBS of Western New York,NFL
Highmark BCBS,NFM
Highmark BCBS,NFN
