BCBS_Name,Acronym
Premera Blue Cross,P3L
Premera Blue Cross,P3M
Premera Blue Cross,P3T
Premera Blue Cross,P4T
Premera Blue Cross,P6B
Premera Blue Cross,P8M
Premera Blue Cross,P9M
Capital Blue Cross,PAA
Unassigned Prefix,PAB
Unassigned Prefix,PAC
Anthem Blue Cross of California,PAD
BCBS of Massachusetts,PAE
Anthem Blue Cross of California,PAF
Blue Shield of California,PAG
Independence Blue Cross,PAH
Premera Blue Cross,PAI
BCBS of Illinois,PAJ
Carefirst BCBS of Maryland,PAK
Anthem Blue Cross of California,PAL
Unassigned Prefix,PAM
BCBS of Illinois,PAN
Carefirst BCBS of Maryland,PAO
BCBS of Illinois,PAP
Anthem BCBS of Ohio,PAQ
Excellus BCBS of New York,PAR
BCBS of Illinois,PAS
Wellmark BCBS,PAT
Anthem BCBS of Virginia,PAU
Anthem BCBS of Virginia,PAV
BCBS of North Carolina,PAW
BCBS of Georgia,PAX
Excellus BCBS of New York,PAY
Premera Blue Cross,PAZ
BCBS of Massachusetts,PBA
BCBS of South Carolina,PBB
Anthem BCBS of Missouri,PBC
Anthem BCBS of Missouri,PBD
Anthem Blue Cross of California,PBE
Premera Blue Cross,PBF
Anthem Blue Cross of California,PBG
BCBS of South Carolina,PBH
BCBS of Western New York,PBI
Anthem BCBS of Ohio,PBJ
BCBS of Illinois,PBK
Blue Shield of California,PBL
Highmark BCBS,PBM
BS of Northeastern New York,PBN
Blue Shield of California,PBO
Wellmark BCBS,PBP
Premera Blue Cross,PBQ
BCBS of Minnesota,PBR
Anthem BCBS of Wisconsin,PBS
BCBS of Minnesota,PBT
BCBS of Illinois,PBU
Premera Blue Cross,PBV
BCBS of Texas,PBW
Independence Blue Cross,PBX
BCBS of Western New York,PBY
Empire BCBS of New York,PBZ
Empire BCBS of New York,PCA
Anthem Blue Cross of California,PCB
Anthem Blue Cross of California,PCC
BCBS of Texas,PCD
Carefirst BCBS of Maryland,PCE
Carefirst BCBS of Maryland,PCF
BCBS of Kansas City,PCG
BCBS of North Carolina,PCH
Anthem Blue Cross of California,PCI
Anthem BCBS of Georgia,PCJ
Premera Blue Cross,PCK
BCBS of Arizona,PCL
Premera Blue Cross,PCM
Carefirst BCBS of Maryland,PCN
Anthem BCBS of Ohio,PCO
Anthem BCBS of Colorado,PCP
Anthem Blue Cross of California,PCQ
Carefirst BCBS of Maryland,PCR
Wellmark BCBS,PCS
Anthem BCBS of Ohio,PCT
Carefirst Administrators,PCU
Blue Shield of California,PCV
Anthem BCBS of Ohio,PCW
Wellmark BCBS,PCX
Anthem BCBS of Ohio,PCY
Unassigned Prefix,PCZ
Independence Blue Cross,PDA
BCBS of Texas,PDB
Regence BCBS of Oregon,PDC
Anthem Blue Cross of California,PDD
Blue Shield of California,PDE
Anthem BCBS of Ohio,PDF
BCBS of Tennessee,PDG
Anthem BCBS of Colorado,PDH
Wellmark BCBS,PDI
Wellmark BCBS,PDJ
Anthem Blue Cross of California,PDK
Anthem Blue Cross of California,PDL
Blue Shield of California,PDM
BCBS of Minnesota,PDN
BCBS of Alabama,PDO
BCBS of Minnesota,PDP
Blue Shield of California,PDQ
Regence BCBS,PDR
CareFirst BCBS,PDS
Independence Blue Cross,PDT
BCBS of Illinois,PDU
Wellmark BCBS,PDV
BCBS of Illinois,PDW
BCBS of Michigan,PDX
BCBS of Illinois,PDY
BCBS of Alabama,PDZ
Anthem BCBS of Colorado,PEA
Capital Blue Cross,PEB
BCBS of Texas,PEC
Anthem BCBS of Ohio,PED
Unassigned Prefix,PEE
BCBS of Alabama,PEF
BCBS of Texas,PEG
Blue Cross of Idaho,PEH
Anthem Blue Cross of California,PEI
BC of Idaho,PEJ
Empire BCBS of New York,PEK
Anthem BCBS of Missouri,PEL
BCBS of Minnesota,PEM
Highmark BCBS,PEN
BCBS of Massachusetts,PEO
Blue Shield of California,PEP
CareFirst BCBS,PEQ
Blue Shield of California,PER
BCBS of Texas,PES
Blue Shield of California,PET
Anthem BCBS of Missouri,PEU
Carefirst BCBS of Maryland,PEV
BCBS of Nebraska,PEW
BCBS of Alabama,PEX
Premera BCBS of Alaska,PEY
BCBS of Georgia,PEZ
Highmark BCBS,PFA
Independence Blue Cross,PFB
Blue Shield of California,PFC
Blue Shield of California,PFD
Anthem BCBS of Virginia,PFE
BCBS of Alabama,PFF
BCBS of Kansas City,PFG
Anthem BCBS of Wisconsin,PFH
Highmark BCBS,PFI
BCBS of Illinois,PFJ
BCBS of Massachusetts,PFK
Unassigned Prefix,PFL
Regence Blue Cross Blue Shield of Utah,PFM
Unassigned Prefix,PFN
Independence Blue Cross,PFO
Premera Blue Cross,PFP
Blue Shield of California,PFQ
Horizon BCBS of New Jersey,PFR
Anthem Blue Cross of California,PFS
BCBS of Tennessee,PFT
BCBS of South Carolina,PFU
Unassigned Prefix,PFV
BCBS of North Carolina,PFW
Carefirst BCBS of Maryland,PFX
BCBS of Illinois,PFY
Horizon BCBS of New Jersey,PFZ
BCBS of North Carolina,PGA
Anthem Blue Cross of California,PGB
BCBS of Tennessee,PGC
Blue Shield of California,PGD
BCBS of Arizona,PGE
Unassigned Prefix,PGF
Anthem BCBS of Wisconsin,PGG
Unassigned Prefix,PGH
BCBS of Illinois,PGI
Unassigned Prefix,PGJ
BCBS of Tennessee,PGK
BCBS of Massachusetts,PGL
Highmark BCBS,PGM
Anthem Blue Cross of California,PGN
Anthem BCBS of Ohio,PGO
BCBS of Florida,PGP
BCBS of Arkansas Blue Advantage,PGQ
BCBS of Tennessee,PGR
Anthem BCBS of Ohio,PGS
BCBS of Michigan,PGT
Anthem BCBS of Georgia,PGU
Anthem BCBS of Georgia,PGV
BCBS of Alabama,PGW
BCBS of Alabama,PGX
Empire BCBS of New York,PGY
BCBS of Illinois,PGZ
Carefirst BCBS of Maryland,PHA
Independence Blue Cross,PHB
Anthem BCBS of Wisconsin,PHC
Regence Blue Cross Blue Shield of Oregon,PHD
BCBS of South Carolina,PHE
BCBS of Kansas,PHF
Blue Shield of California,PHG
Unaasigned Prefix,PHH
BCBS of Louisiana,PHI
Capital Blue Cross,PHJ
Unassigned Prefix,PHK
Premera Blue Cross,PHL
Anthem Blue Cross of California,PHM
BCBS of Texas,PHN
Independence Blue Cross,PHO
Anthem BCBS of Georgia,PHP
Anthem BCBS of Georgia,PHQ
Unassigned Prefix,PHR
Anthem BCBS of Georgia,PHS
BCBS of Alabama,PHT
Blue Shield of California,PHU
BCBS of Massachusetts,PHV
Carefirst BCBS of Maryland,PHW
BCBS of Alabama,PHX
Empire BCBS of New York,PHY
Unassigned Prefix,PHZ
Carefirst BCBS of Maryland,PIA
BCBS of Minnesota,PIB
Blue Shield of California,PIC
Anthem BCBS of Wisconsin,PID
Unassigned Prefix,PIE
Wellmark BCBS,PIF
Unassigned Prefix,PIG
Independence Blue Cross,PIH
Wellmark BCBS,PII
Unassigned Prefix,PIJ
Anthem BCBS of Ohio,PIK
Independence Blue Cross,PIL
Anthem BCBS of Wisconsin,PIM
BCBS of Tennessee,PIN
BCBS of Tennessee,PIO
BCBS of Arkansas,PIP
BCBS of Arkansas Blue Advantage,PIQ
BCBS of South Carolina,PIR
Unassigned Prefix,PIS
Unassigned Prefix,PIT
Carefirst BCBS of Maryland,PIU
Unassigned Prefix,PIV
Highmark BCBS,PIW
BCBS of Alabama,PIX
Independence Blue Cross,PIY
BCBS of Alabama,PIZ
BCBS of Alabama,PJA
Regence BCBS of Washington,PJB
Anthem Blue Cross of California,PJC
BCBS of Michigan,PJD
Regence Blue Cross Blue Shield of Oregon,PJE
Wellmark BCBS,PJF
Unassigned Prefix,PJG
BCBS of Illinois,PJH
BCBS of Michigan,PJI
Independence Blue Cross,PJJ
BCBS of South Carolina,PJK
BCBS of Western New York,PJL
Unassigned Prefix,PJM
Carefirst BCBS of Maryland,PJN
BCBS of North Carolina,PJO
BCBS of Illinois,PJP
Wellmark BCBS,PJQ
Independence Blue Cross,PJR
BCBS of Illinois,PJS
BCBS of Illinois,PJT
Highmark BCBS,PJU
BCBS of Georgia,PJV
Anthem BCBS of Ohio,PJW
BCBS of Georgia,PJX
Horizon BCBS of New Jersey,PJY
BCBS of Florida,PJZ
BCBS of Illinois,PKA
BCBS of Alabama,PKB
Premera Blue Cross,PKC
Blue Shield of California,PKD
Highmark BCBS,PKE
BCBS of Alabama,PKF
Independence Blue Cross,PKG
Anthem BCBS of Virginia,PKH
Independence Blue Cross,PKI
Anthem BCBS of Ohio,PKJ
BCBS of Nebraska,PKK
BCBS of Michigan,PKL
BCBS of Michigan,PKM
Highmark BCBS,PKN
Premera Blue Cross,PKO
Horizon BCBS of New Jersey,PKP
Anthem Blue Cross of California,PKQ
Wellmark BCBS of Iowa,PKR
Anthem Blue Cross of California,PKS
BCBS of Minnesota,PKT
BCBS of Minnesota,PKU
BCBS of Louisiana,PKV
Anthem BCBS of Ohio,PKW
Anthem BCBS of Connecticut,PKX
BCBS of Illinois,PKY
Carefirst BCBS of Maryland,PKZ
Anthem BCBS of Virginia,PLA
Anthem Blue Cross of California,PLB
BCBS of Alabama,PLC
Wellmark BCBS,PLD
BCBS of Michigan,PLE
BCBS of Florida,PLF
Carefirst BCBS of Maryland,PLG
Anthem BCBS of Ohio,PLH
Unassigned Prefix,PLI
Empire BCBS of New York,PLJ
Premera Blue Cross,PLK
Anthem Blue Cross of California,PLL
BCBS of Massachusetts,PLM
Anthem BCBS of Ohio,PLN
BCBS of Massachusetts,PLO
BCBS of Minnesota,PLP
Anthem Blue Cross of California,PLQ
BCBS of Western New York,PLR
Wellmark BCBS,PLS
Empire BCBS of New York,PLT
BCBS of Illinois,PLU
BCBS of South Carolina,PLV
Anthem BCBS of Ohio,PLW
BCBS of Florida,PLX
Unassigned Prefix,PLY
BCBS of Arkansas Blue Advantage,PLZ
BCBS of Arizona,PMA
BCBS of Illinois,PMB
Carefirst BCBS of Maryland,PMC
BCBS of North Carolina,PMD
BCBS of Texas,PME
Unassigned Prefix,PMF
Anthem Blue Cross of California,PMG
BCBS of South Carolina,PMH
Carefirst BCBS of Maryland,PMI
BCBS of Georgia,PMJ
BCBS of Arizona,PMK
Anthem BCBS of Wisconsin,PML
Anthem BCBS of indiana,PMM
Anthem BCBS of Wisconsin,PMN
BCBS of South Carolina,PMO
Wellmark BCBS of Iowa,PMP
Wellmark BCBS Iowa,PMQ
BCBS of South Carolina,PMR
BCBS of Illinois,PMS
Premera Blue Cross,PMT
BCBS of Minnesota,PMU
Regence Blue Cross Blue Shield of Utah,PMV
Anthem Blue Cross of California,PMW
BCBS of Illinois,PMX
Anthem BCBS of Missouri,PMY
BCBS of South Carolina,PMZ
Carefirst BCBS of Maryland,PNA
BCBS of Nebraska,PNB
Premera Blue Cross,PNC
Carefirst BCBS of Maryland,PND
Blue Shield of California,PNE
BCBS of Illinois,PNF
BCBS of North Carolina,PNG
Capital Blue Cross,PNH
BCBS of Michigan,PNI
Unassigned Prefix,PNJ
BCBS of Illinois,PNK
Capital Blue Cross,PNL
Highmark BCBS,PNM
Wellmark BCBS,PNN
Anthem Blue Cross of California,PNO
Anthem Blue Cross of California,PNP
Premera Blue Cross,PNQ
BCBS of Minnesota,PNR
Wellmark BCBS,PNS
Premera Blue Cross,PNT
BCBS of Texas,PNU
Regence BCBS of Washington,PNV
Wellmark BCBS of Iowa,PNW
Highmark BCBS,PNX
Blue Shield of California,PNY
Wellmark BCBS,PNZ
Anthem BCBS of Ohio,POA
Wellmark BCBS,POB
Anthem Blue Cross of California,POC
Premera Blue Cross,POD
Anthem BCBS of Virginia,POE
Blue Cross of Idaho,POF
Anthem Blue Cross of California,POG
Anthem Blue Cross of California,POH
Highmark BCBS,POI
Unassigned Prefix,POJ
BCBS of Florida,POK
BCBS of Kansas City,POL
Anthem Blue Cross of California,POM
Premera Blue Cross,PON
Blue Shield of California,POO
Blue Shield of California,POP
BCBS of Massachusetts,POQ
Wellmark BCBS of Iowa,POR
Empire BCBS of New York,POS
Blue Shield of California,POT
Independence Blue Cross,POU
Anthem Blue Cross of California,POV
Blue Shield of California,POW
Wellmark BCBS,POX
Blue Shield of California,POY
Blue Cross of Idaho,POZ
BCBS of Alabama,PPA
Premera Blue Cross,PPB
BCBS of Texas,PPC
BCBS of Illinois,PPD
Highmark BCBS,PPE
BCBS of Illinois,PPF
Highmark BCBS,PPG
BCBS of Illinois,PPH
Anthem BCBS of Virginia,PPI
BCBS of Minnesota,PPJ
BCBS of Illinois,PPK
Regence BCBS of Oregon and Utah,PPL
Highmark BCBS,PPM
Highmark BCBS,PPN
BCBS of Illinois,PPO
BCBS of Illinois,PPP
BCBS of Illinois,PPQ
BCBS of Alabama,PPR
Premera Blue Cross,PPS
BCBS of Georgia,PPT
BCBS of Illinois,PPU
Blue Cross of Idaho,PPV
Highmark BCBS,PPW
BCBS of Florida,PPX
BCBS of Minnesota,PPY
BCBS of Illinois,PPZ
Premera Blue Cross,PQA
BCBS of Alabama,PQB
Anthem BCBS of Colorado,PQC
Anthem Blue Cross of California,PQD
BCBS of Massachusetts,PQE
Premera Blue Cross,PQF
Empire BCBS of New York,PQG
Premera Blue Cross,PQH
BCBS of Tennessee,PQI
BCBS of Minnesota,PQJ
BCBS of Kansas City,PQK
Regence Blue Cross Blue Shield of Oregon,PQL
Highmark BCBS,PQM
Unassigned Prefix,PQN
Blue Cross of Idaho,PQO
Premera Blue Cross,PQP
Anthem BCBS of Colorado,PQQ
Wellmark BCBS,PQR
BCBS of Massachusetts,PQS
Regence BCBS of Oregon and Utah,PQT
Blue Shield of California,PQU
Anthem Blue Cross of California,PQV
BCBS of Massachusetts,PQW
Anthem Blue Cross of California,PQX
Unassigned Prefix,PQY
Unassigned Prefix,PQZ
BCBS of Alabama,PRA
BCBS of Western New York,PRB
Blue Shield of California,PRC
BCBS of Alabama,PRD
BCBS of Nebraska,PRE
Empire BCBS of New York,PRF
Regence Blue Shield of Washington,PRG
Anthem BCBS of Ohio,PRH
Anthem BCBS of Virginia,PRI
Anthem BCBS of Virginia,PRJ
Carefirst Administrators,PRK
BCBS of Georgia,PRL
Unassigned Prefix,PRM
Unassigned Prefix,PRN
Carefirst BCBS of Maryland,PRO
Independence Blue Cross,PRP
Wellmark BCBS of Iowa,PRQ
Anthem BCBS of Ohio,PRR
Carefirst BCBS of Maryland,PRS
Regence BCBS of Oregon and Utah,PRT
BCBS of Western New York,PRU
BCBS of Alabama,PRV
Independence Blue Cross,PRW
BCBS of Alabama,PRX
BCBS of Kansas City,PRY
BCBS of Illinois,PRZ
BCBS of Massachusetts,PSA
BCBS of Texas,PSB
BCBS of Illinois,PSC
Carefirst BCBS of Maryland,PSD
BCBS of Minnesota,PSE
Anthem BCBS of Virginia,PSF
BCBS of Georgia,PSG
Anthem BCBS of Connecticut,PSH
Blue Shield of California,PSI
BCBS of Illinois,PSJ
Blue Shield of Northeastern New York,PSK
BCBS of South Carolina,PSL
Independence Blue Cross,PSM
Carefirst Administrators,PSN
Independence Blue Cross,PSO
BCBS of South Carolina,PSP
Anthem BCBS of Georgia,PSQ
Unassigned Prefix,PSR
Wellmark BCBS of Iowa,PSS
BCBS of North Carolina,PST
Premera Blue Cross,PSU
Anthem BCBS of Ohio,PSV
Unassigned Prefix,PSW
Anthem BCBS of Nevada,PSX
Premera Blue Cross,PSY
BCBS of Louisiana,PSZ
Anthem Blue Cross of California,PTA
Blue Shield of California,PTB
Anthem Blue Cross of California,PTC
BCBS of Kansas City,PTD
BCBS of Texas,PTE
Premera Blue Cross,PTF
Anthem BCBS of Ohio,PTG
Anthem BCBS of Connecticut,PTH
Wellmark BCBS,PTI
Anthem Blue Cross of California,PTJ
Capital Blue Cross,PTK
BCBS of Illinois,PTL
Capital Blue Cross,PTM
BCBS of Illinois,PTN
Anthem BCBS of Ohio,PTO
Carefirst BCBS of Maryland,PTP
Premera Blue Cross,PTQ
BCBS of Arkansas Blue Advantage,PTR
Anthem BCBS of Ohio,PTS
Anthem Blue Cross of California,PTT
BCBS of Georgia,PTU
Carefirst Administrators,PTV
BCBS of Rhose Island,PTW
BCBS of Montana,PTX
Anthem BCBS of Indiana,PTY
Anthem BCBS of Nevada,PTZ
BCBS of Michigan,PUA
Horizon BCBS of New Jersey,PUB
Wellmark BCBS,PUC
Independence Blue Cross,PUD
Blue Shield of California,PUE
Blue Shield of California,PUF
BCBS of Michigan,PUG
Highmark BCBS,PUH
Unassigned Prefix,PUI
Anthem BCBS of Georgia,PUJ
BCBS of South Carolina,PUK
Premera Blue Cross,PUL
BCBS of South Carolina,PUM
Carefirst BCBS of Maryland,PUN
BCBS of Arizona,PUO
BCBS of Florida,PUP
Independence Blue Cross,PUQ
Wellmark BCBS,PUR
BCBS of Arizona,PUS
BCBS of Michigan,PUT
BCBS of Michigan,PUU
Anthem BCBS of Virginia,PUV
BCBS of Massachusetts,PUW
Premera Blue Cross,PUX
Wellmark BCBS,PUY
Unassigned Prefix,PUZ
BCBS of Minnesota,PVA
Wellmark BCBS,PVB
BCBS of Rhose Island,PVC
BCBS of Illinois,PVD
Anthem BCBS of Virginia,PVE
BCBS of Tennessee,PVF
Anthem Blue Cross of California,PVG
BCBS of Alabama,PVH
Unassigned Prefix,PVI
Anthem BCBS of Ohio,PVJ
Anthem Blue Cross of California,PVK
CareFirst BCBS of Virginia,PVL
Blue Shield of California,PVM
BCBS of Tennessee,PVN
Carefirst Administrators,PVO
Anthem Blue Cross of California,PVP
BS of Northeastern New York,PVQ
Anthem BCBS of Ohio,PVR
BCBS of Arkansas,PVS
Anthem BCBS of Ohio,PVT
Wellmark BCBS,PVU
BCBS of South Carolina,PVV
Florida Blue BCBS,PVW
BCBS of North Carolina,PVX
BCBS of North Carolina,PVY
Regence BCBS of Idaho,PVZ
BCBS of South Carolina,PWA
Highmark BCBS,PWB
Regence BCBS of Oregon and Utah,PWC
BCBS of Illinois,PWD
Empire BCBS of New York,PWE
Anthem Blue Cross of California,PWF
