BCBS_Name,Acronym
Highmark BCBS of Pennsylvania,R2A
Blue Cross Blue Shield of Illinois,R2B
Premera Blue Cross,R2C
Blue Cross Blue Shield of Illinois,R2D
Blue Cross Blue Shield of Illinois,R2E
Blue Cross Blue Shield of Illinois,R2F
Blue Cross Blue Shield of Texas,R2G
Anthem BCBS of Indiana,R2H
Blue Cross Blue Shield of Rhode Island,R2I
Anthem BCBS of Ohio,R2J
Anthem BCBS of Ohio,R2K
Highmark BCBS of Pennsylvania,R2L
Empire Blue Cross Blue Shield,R2M
Regence Blue Cross Blue Shield of Oregon,R2P
Empire Blue Cross Blue Shield,R2R
Regence Blue Cross Blue Shield of Oregon,R2S
Blue Cross Blue Shield of Illinois,R2T
Premera Blue Cross,R2X
Anthem BCBS of Ohio,R3A
Blue Cross Blue Shield of Texas,R3B
Premera Blue Cross,R3D
Anthem BCBS of Virginia,R3E
Blue Cross Blue Shield of Illinois,R3F
Anthem BCBS of Ohio,R3G
Anthem BCBS of Georgia,R3H
Empire Blue Cross Blue Shield,R3M
Blue Cross Blue Shield of Illinois,R3P
Regence Blue Cross Blue Shield of Oregon,R3R
Blue Cross Blue Shield of Illinois,R3S
Blue Cross Blue Shield of Illinois,R3T
Premera Blue Cross,R3W
Highmark BCBS of Pennsylvania,R4A
Blue Cross Blue Shield of Texas,R4B
Premera Blue Cross,R4D
Blue Cross Blue Shield of Illinois,R4F
Anthem BCBS of Wisconsin,R4J
Anthem BCBS of Wisconsin,R4K
Blue Cross Blue Shield of Illinois,R4P
Premera Blue Cross,R4S
Blue Cross Blue Shield of Illinois,R5C
Blue Cross Blue Shield of Illinois,R5F
Blue Cross Blue Shield of Massachusetts,R5L
Anthem BCBS of Ohio,R6A
Regence Blue Cross Blue Shield of Oregon,R6D
Blue Cross Blue Shield of Illinois,R6F
Premera Blue Cross,R6P
Regence Blue Cross Blue Shield of Oregon,R6S
Regence Blue Shield of Washington,R7F
Independence Blue Cross,RAA
Blue Cross Blue Shield of South Carolina,RAB
Anthem BCBS of Wisconsin,RAC
Wellmark BCBS,RAD
Blue Cross Blue Shield of North Carolina,RAE
Blue Cross of California,RAF
Wellmark BCBS,RAG
Anthem BCBS of Connecticut,RAH
Wellmark BCBS,RAI
Blue Cross Blue Shield of Alabama,RAJ
Independence Blue Cross,RAK
Anthem BCBS of Ohio,RAL
BCBS of Texas,RAM
Wellmark BCBS,RAN
Independence Blue Cross,RAO
Wellmark BCBS,RAP
Wellmark BCBS,RAQ
Anthem BCBS of Kentucky,RAR
Blue Shield of California,RAS
Blue Cross of California,RAT
Blue Cross Blue Shield of South Carolina,RAU
Anthem BCBS of Virginia,RAV
Blue Cross of California,RAW
BCBS of Western New York,RAX
CareFirst BCBS,RAY
Blue Shield of California,RAZ
Anthem BCBS of Georgia,RBA
Blue Shield of California,RBB
Anthem BCBS of Wisconsin,RBC
Blue Cross Blue Shield of Minnesota,RBD
Wellmark BCBS,RBE
Blue Cross Blue Shield of Minnesota,RBF
Blue Cross Blue Shield of Illinois,RBG
Anthem BCBS of Ohio,RBH
Blue Cross Blue Shield of Mississippi,RBI
Blue Shield of California,RBJ
BCBS of Florida,RBK
Blue Cross of California,RBL
CareFirst BCBS,RBM
Blue Cross Blue Shield of South Carolina,RBN
Anthem BCBS of Georgia,RBO
Blue Cross Blue Shield of Minnesota,RBP
Anthem BCBS of Ohio,RBQ
Blue Cross Blue Shield of Massachusetts,RBR
Blue Cross Blue Shield of Texas,RBS
Blue Cross Blue Shield of Illinois,RBT
Blue Cross of California,RBU
CareFirst BCBS,RBV
Blue Shield of Northeastern New York,RBW
Blue Cross Blue Shield of South Carolina,RBX
Blue Cross Blue Shield of Minnesota,RBY
Blue Shield of Northeastern New York,RBZ
Unassigned,RCA
Blue Cross of Idaho,RCB
Empire Blue Cross Blue Shield,RCC
Anthem BCBS of Virginia,RCD
BCBS of Western New York,RCE
Blue Cross Blue Shield of Alabama,RCF
Regence Blue Cross Blue Shield of Oregon,RCG
Blue Cross Blue Shield of Massachusetts,RCH
Anthem BCBS of Missouri,RCI
Anthem BCBS of Georgia,RCJ
Wellmark BCBS,RCK
Blue Cross Blue Shield of Tennessee,RCL
Blue Cross Blue Shield of Alabama,RCM
Wellmark BCBS,RCN
Regence Blue Cross Blue Shield of Oregon,RCO
CareFirst BCBS,RCP
Blue Cross Blue Shield of Texas,RCQ
Blue Cross Blue Shield of Illinois,RCR
CareFirst BCBS,RCS
Anthem BCBS of Virginia,RCT
Unassigned,RCU
Anthem BCBS of Ohio,RCV
Blue Cross Blue Shield of South Carolina,RCW
Anthem BCBS of Connecticut,RCX
Blue Cross Blue Shield of Illinois,RCY
Anthem BCBS of Connecticut,RCZ
Anthem BCBS of Georgia,RDA
Blue Cross Blue Shield of North Carolina,RDB
Blue Cross Blue Shield of South Carolina,RDC
Blue Cross Blue Shield of North Dakota,RDD
Blue Cross Blue Shield of Kansas City,RDE
Empire Blue Cross Blue Shield,RDF
Anthem BCBS of Ohio,RDG
Anthem BCBS of Ohio,RDH
Anthem BCBS of Wisconsin,RDI
BCBS of Western New York,RDJ
