BCBS_Name,Acronym
BCBS of Western New York,T2A
Blue Cross Blue Shield of Illinois,T2B
Blue Cross Blue Shield of Texas,T2D
Blue Cross Blue Shield of Texas,T2E
Blue Cross Blue Shield of Texas,T2F
Blue Cross Blue Shield of Texas,T2G
Blue Cross Blue Shield of Illinois,T2H
Blue Cross Blue Shield of Texas,T2J
Blue Cross Blue Shield of Texas,T2K
Regence Blue Cross Blue Shield of Oregon,T2L
Anthem Blue Cross of California,T2M
Anthem Blue Cross of Virginia,T2N
Blue Cross of California,T2Q
Blue Cross Blue Shield of Illinois,T2R
Capital Blue Cross,T2V
Blue Cross Blue Shield of Illinois,T2W
Blue Cross Blue Shield of Illinois,T2X
Blue Cross Blue Shield of North Dakota,T2Y
Blue Cross Blue Shield of Illinois,T2Z
Regence Blue Cross Blue Shield of Oregon,T3A
Highmark BCBS of Pennsylvania,T3B
Regence Blue Cross Blue Shield of Oregon,T3C
Highmark BCBS of Pennsylvania,T3D
Blue Cross Blue Shield of Illinois,T3H
Blue Cross of California,T3M
Blue Cross Blue Shield of Minnesota,T3P
Blue Cross Blue Shield of Texas,T3R
Blue Cross Blue Shield of Minnesota,T3T
Anthem BCBS of Missouri,T3U
Empire BCBS of New York,T4A
Empire BCBS of New York,T4B
Empire BCBS of New York,T4C
Empire BCBS of New York,T4D
Empire BCBS of New York,T4E
Empire BCBS of New York,T4F
Blue Cross Blue Shield of Illinois,T4H
Empire BCBS of New York,T4J
Empire BCBS of New York,T4K
Empire BCBS of New York,T4L
Empire BCBS of New York,T4N
Anthem BCBS of Colorado,T4O
Blue Cross Blue Shield of Illinois,T4P
Blue Cross Blue Shield of Texas,T4R
Blue Cross Blue Shield of Massachusetts,T4T
Empire BCBS of New York,T4U
Empire BCBS of New York,T4V
Blue Cross of California,T5A
Anthem BCBS of Ohio,T5B
Anthem BCBS of Virginia,T5F
Anthem BCBS of Indiana,T5G
Blue Cross Blue Shield of Illinois,T5H
Anthem BCBS of Georgia,T5N
Anthem BCBS of Ohio,T5O
Regence Blue Cross Blue Shield of Oregon,T5P
Blue Cross Blue Shield of Texas,T5R
Regence Blue Cross Blue Shield of Oregon,T5T
Empire BCBS of New York,T6A
Regence Blue Cross Blue Shield of Oregon,T6G
Blue Cross Blue Shield of Illinois,T6H
Blue Cross Blue Shield of Illinois,T7H
Blue Cross Blue Shield of Illinois,T8H
Premera Blue Cross,T8R
Premera Blue Cross,T8R
Blue Cross Blue Shield of Illinois,T9H
Highmark BCBS,TAA
Anthem Blue Cross of California,TAB
Blue Cross of Idaho,TAC
Unassigned Prefix,TAD
Anthem BCBS of Colorado,TAE
BCBS of Illinois,TAF
Anthem BCBS of Ohio,TAG
Premera Blue Cross,TAH
Anthem BCBS of Ohio,TAI
BCBS of Illinois,TAJ
Unassigned Prefix,TAK
BCBS of Minnesota,TAL
BCBS of Alabama,TAM
Independence Blue Cross,TAN
Unassigned Prefix,TAO
Premera Blue Cross,TAP
BCBS of Western New York,TAQ
Unassigned Prefix,TAR
Anthem BCBS of Wisconsin,TAS
Premera Blue Cross,TAT
BCBS of Massachusetts,TAU
BCBS of South Carolina,TAV
Anthem BCBS of Hampshire,TAW
BCBS of Georgia,TAX
