BCBS_Name,Acronym
Blue Cross Blue Shield of Texas,U2A
Empire Blue Cross Blue Shield,U2B
Empire Blue Cross Blue Shield,U2C
Empire Blue Cross Blue Shield,U2D
Blue Cross Blue Shield of Illinois,U2F
Blue Cross Blue Shield of Arkansas,U2G
Empire Blue Cross Blue Shield,U2H
Empire Blue Cross Blue Shield,U2J
Blue Cross Blue Shield of Oklahoma,U2M
Anthem BCBS of Indiana,U2N
Regence Blue Cross Blue Shield of Oregon,U2P
Blue Cross Blue Shield of Texas,U2S
Regence Blue Cross Blue Shield of Oregon,U2T
Regence Blue Cross Blue Shield of Oregon,U2U
Empire Blue Cross Blue Shield,U2W
BCBS of Western New York,U2Z
Blue Cross of California,U3A
Blue Cross of California,U3B
Blue Cross of California,U3C
Highmark BCBS of Pennsylvania,U3D
Highmark BCBS of Pennsylvania,U3E
Highmark BCBS of Pennsylvania,U3F
Highmark BCBS of Pennsylvania,U3G
Anthem BCBS of Indiana,U3N
Blue Cross Blue Shield of Massachusetts,U3P
Blue Cross Blue Shield of Illinois,U3U
Blue Cross Blue Shield of Illinois,U3V
Regence Blue Cross Blue Shield of Oregon,U4B
Empire Blue Cross Blue Shield,U4C
Blue Cross Blue Shield of Illinois,U4F
Blue Cross Blue Shield of Massachusetts,U4G
Anthem BCBS of Indiana,U4N
Blue Cross Blue Shield of Texas,U4R
Blue Cross Blue Shield of Alabama,U5A
Anthem BCBS of Indiana,U5N
Blue Cross Blue Shield of Alabama,U5P
Blue Cross Blue Shield of Texas,U5R
Anthem BCBS of Indiana,U6N
Blue Cross Blue Shield of Texas,U6R
Regence Blue Shield of Washington,U7P
Blue Cross Blue Shield of Texas,U7R
Blue Cross Blue Shield of Texas,U8R
Blue Cross Blue Shield of Massachusetts,U8S
Blue Cross of California,U9A
Blue Cross Blue Shield of Illinois,U9M
Premera Blue Cross,U9R
Blue Cross Blue Shield of Michigan,UAA
Blue Cross Blue Shield of Kansas City,UAB
Blue Cross Blue Shield of Michigan,UAC
Regence Blue Shield of Washington,UAD
Empire Blue Cross Blue Shield,UAE
CareFirst BCBS,UAF
Blue Cross Blue Shield of Texas,UAG
Blue Cross Blue Shield of Alabama,UAH
Unassigned,UAI
Unassigned,UAJ
Anthem BCBS of Connecticut,UAK
Blue Cross Blue Shield of Illinois,UAL
Highmark BCBS of Pennsylvania,UAM
Horizon Blue Cross Blue Shield of New Jersey,UAN
Blue Cross Blue Shield of Michigan,UAO
Blue Cross of California,UAP
Blue Shield of California,UAQ
CareFirst BCBS,UAR
Blue Cross of California,UAS
Blue Cross of California,UAT
Blue Cross Blue Shield of Michigan,UAU
Anthem Blue Cross of California,UAV
Blue Cross Blue Shield of Michigan,UAW
Empire Blue Cross Blue Shield,UAX
Blue Cross Blue Shield of Michigan,UAY
CareFirst BCBS,UAZ
Anthem BCBS of Virginia,UBA
Anthem BCBS of Missouri,UBB
Anthem BCBS of Ohio,UBC
Anthem BCBS of Ohio,UBD
Empire Blue Cross Blue Shield,UBE
Independence Blue Cross,UBF
Blue Cross Blue Shield of Michigan,UBG
Empire Blue Cross Blue Shield,UBH
Blue Cross Blue Shield of Minnesota,UBI
Blue Cross of California,UBJ
Anthem BCBS of Ohio,UBK
Independence Blue Cross,UBL
Anthem BCBS of Virginia,UBM
Blue Cross Blue Shield of Minnesota,UBN
Blue Shield of California,UBO
Wellmark BCBS,UBP
Blue Cross Blue Shield of Minnesota,UBQ
Anthem BCBS of Kentucky,UBR
Blue Shield of California,UBS
Blue Cross Blue Shield of Minnesota,UBT
Anthem BCBS of Virginia,UBU
Wellmark BCBS,UBV
Anthem BCBS of Ohio,UBW
Wellmark BCBS,UBX
Blue Cross Blue Shield of Alabama,UBY
Anthem BCBS of Indiana,UBZ
Anthem BCBS of Ohio,UCA
Premera Blue Cross,UCB
Blue Cross Blue Shield of Michigan,UCC
Unassigned,UCD
Blue Cross Blue Shield of Texas,UCE
Anthem BCBS of Colorado,UCF
Blue Cross Blue Shield of Massachusetts,UCG
Blue Cross Blue Shield of Kansas City,UCH
Blue Cross Blue Shield of Michigan,UCI
Horizon Blue Cross Blue Shield of New Jersey,UCJ
Blue Cross Blue Shield of Michigan,UCK
Anthem BCBS of Colorado,UCL
Blue Cross Blue Shield of Illinois,UCM
Blue Cross Blue Shield of Alabama,UCN
CareFirst BCBS,UCO
Wellmark BCBS,UCP
Anthem BCBS of Ohio,UCQ
Blue Cross Blue Shield of Missouri,UCR
Regence Blue Cross Blue Shield of Oregon,UCS
Anthem BCBS of Virginia,UCT
Anthem BCBS of Ohio,UCU
Anthem BCBS of Colorado,UCV
BCBS of Tennessee,UCW
Anthem BCBS of Ohio,UCX
Blue Shield of California,UCY
BCBS of Western New York,UCZ
Premera Blue Cross,UDA
Wellmark BCBS,UDB
Blue Cross Blue Shield of Michigan,UDC
Blue Cross Blue Shield of Michigan,UDD
Anthem BCBS of Ohio,UDE
Anthem BCBS of Ohio,UDF
Blue Cross of California,UDG
Blue Cross Blue Shield of Illinois,UDH
Anthem BCBS of Nevada,UDI
Unassigned,UDJ
Unassigned,UDK
Blue Cross Blue Shield of Illinois,UDL
Highmark BCBS of Pennsylvania,UDM
Anthem BCBS of Wisconsin,UDN
Anthem BCBS of Ohio,UDO
CareFirst BCBS,UDP
Blue Cross Blue Shield of Michigan,UDQ
Blue Cross of California,UDR
Independence Blue Cross,UDS
Anthem BCBS of Ohio,UDT
Blue Cross of California,UDU
Premera Blue Cross,UDV
Regence Blue Shield of Washington,UDW
Blue Cross Blue Shield of Michigan,UDX
Anthem BCBS of Ohio,UDY
Blue Cross Blue Shield of South Carolina,UDZ
Blue Cross Blue Shield of Kansas City,UEA
Blue Cross Blue Shield of Massachusetts,UEB
Blue Shield of California,UEC
Wellmark BCBS,UED
BCBS of Tennessee,UEE
Blue Shield of California,UEF
Empire Blue Cross Blue Shield,UEG
Anthem BCBS of Missouri,UEH
Anthem BCBS of Ohio,UEI
Blue Cross Blue Shield of Illinois,UEJ
Wellmark BCBS,UEK
Blue Cross Blue Shield of Massachusetts,UEL
Blue Cross Blue Shield of Massachusetts,UEM
Blue Cross Blue Shield of Massachusetts,UEN
Regence Blue Cross Blue Shield of Oregon,UEO
Blue Shield of California,UEP
Anthem BCBS of Missouri,UEQ
CareFirst BCBS,UER
Empire Blue Cross Blue Shield,UES
Anthem BCBS of Virginia,UET
Unassigned,UEU
Unassigned,UEV
Blue Cross Blue Shield of Massachusetts,UEW
Blue Cross Blue Shield of Texas,UEX
BCBS of Tennessee,UEY
Blue Cross Blue Shield of Illinois,UEZ
Blue Cross of California,UFA
Blue Cross Blue Shield of Michigan,UFB
Blue Cross Blue Shield of Illinois,UFC
Horizon Blue Cross Blue Shield of New Jersey,UFD
Blue Cross Blue Shield of Michigan,UFE
Anthem BCBS of Ohio,UFF
Blue Cross Blue Shield of Michigan,UFG
Blue Cross Blue Shield of Michigan,UFH
Anthem BCBS of Ohio,UFI
Blue Cross Blue Shield of Michigan,UFJ
Blue Cross Blue Shield of Michigan,UFK
Blue Cross Blue Shield of Michigan,UFL
Anthem BCBS of Virginia,UFM
Independence Blue Cross,UFN
Blue Cross of Idaho,UFO
Independence Blue Cross,UFP
Blue Cross Blue Shield of Michigan,UFQ
BCBS of Western New York,UFR
BCBS of Florida,UFS
Independence Blue Cross,UFT
Excellus BCBS,UFU
Blue Cross Blue Shield of Michigan,UFV
Blue Cross Blue Shield of Illinois,UFW
Blue Cross Blue Shield of Michigan,UFX
Wellmark BCBS,UFY
Highmark BCBS of Pennsylvania,UFZ
BCBS of Florida,UGA
Blue Cross of California,UGB
Horizon Blue Cross Blue Shield of New Jersey,UGC
Blue Cross Blue Shield of Michigan,UGD
Blue Cross Blue Shield of Georgia,UGE
Blue Cross Blue Shield of Michigan,UGF
Blue Cross Blue Shield of Michigan,UGG
Blue Cross Blue Shield of Michigan,UGH
Blue Cross of Idaho,UGI
Blue Cross of California,UGJ
Blue Cross of California,UGK
Highmark BCBS of Pennsylvania,UGL
Blue Cross Blue Shield of Georgia,UGM
Blue Cross Blue Shield of Illinois,UGN
Anthem BCBS of Ohio,UGO
Blue Cross Blue Shield of Michigan,UGP
Blue Cross of Idaho,UGQ
Anthem BCBS of New Hampshire,UGR
Anthem BCBS of New Hampshire,UGS
Blue Cross Blue Shield of Alabama,UGT
BCBS of Tennessee,UGU
Blue Cross Blue Shield of Minnesota,UGV
Blue Cross of California,UGW
Blue Cross Blue Shield of Illinois,UGX
Horizon Blue Cross Blue Shield of New Jersey,UGY
Blue Cross Blue Shield of Michigan,UGZ
Blue Cross Blue Shield of Illinois,UHA
Blue Cross Blue Shield of Illinois,UHB
Blue Cross Blue Shield of Michigan,UHC
Anthem BCBS of Ohio,UHD
Blue Cross Blue Shield of Arizona,UHE
Independence Blue Cross,UHF
Highmark Blue Cross Blue Shield of West Virginia,UHG
Wellmark BCBS,UHH
Anthem BCBS of Kentucky,UHI
Blue Cross Blue Shield of Michigan,UHJ
Anthem BCBS of Ohio,UHK
Blue Cross Blue Shield of Arizona,UHL
Blue Cross Blue Shield of Massachusetts,UHM
CareFirst BCBS,UHN
Blue Cross Blue Shield of Illinois,UHO
Blue Cross Blue Shield of Alabama,UHP
Anthem BCBS of Ohio,UHQ
Highmark BCBS of Pennsylvania,UHR
Blue Cross Blue Shield of Illinois,UHS
Anthem BCBS of Ohio,UHT
Anthem BCBS of Ohio,UHU
Anthem BCBS of Ohio,UHV
Blue Cross Blue Shield of Illinois,UHW
Blue Cross Blue Shield of Minnesota,UHX
Blue Shield of Northeastern New York,UHY
Anthem BCBS of Ohio,UHZ
Anthem BCBS of Ohio,UIA
Blue Cross Blue Shield of Georgia,UIB
Blue Cross Blue Shield of Michigan,UIC
Blue Cross of Idaho,UID
Blue Cross Blue Shield of Michigan,UIE
BCBS of Florida,UIF
Excellus BCBS,UIG
CareFirst BCBS,UIH
Blue Cross Blue Shield of Michigan,UII
Blue Cross Blue Shield of Georgia,UIJ
Blue Cross Blue Shield of Georgia,UIK
Blue Cross Blue Shield of Michigan,UIL
Premera Blue Cross,UIM
Blue Cross Blue Shield of Michigan,UIN
Blue Cross Blue Shield of Michigan,UIO
Blue Cross of California,UIP
CareFirst BCBS,UIQ
Blue Cross Blue Shield of Michigan,UIR
Blue Shield of California,UIS
Anthem BCBS of Colorado,UIT
CareFirst BCBS,UIU
Premera Blue Cross,UIV
Blue Cross Blue Shield of Michigan,UIW
Horizon Blue Cross Blue Shield of New Jersey,UIX
CareFirst BCBS,UIY
Blue Cross Blue Shield of Michigan,UIZ
Anthem BCBS of Connecticut,UJA
Anthem BCBS of Missouri,UJB
Blue Cross Blue Shield of Illinois,UJC
Premera Blue Cross,UJD
Unassigned,UJE
Blue Cross Blue Shield of Alabama,UJF
Blue Cross Blue Shield of Oklahoma,UJG
Blue Cross Blue Shield of Illinois,UJH
Anthem BCBS of Wisconsin,UJI
Anthem BCBS of Wisconsin,UJJ
Unassigned,UJK
Blue Shield of California,UJL
Anthem BCBS of Wisconsin,UJM
Anthem BCBS of New Hampshire,UJN
Anthem BCBS of Ohio,UJO
Blue Cross Blue Shield of Illinois,UJP
Blue Cross Blue Shield of Texas,UJQ
Regence Blue Cross Blue Shield of Oregon,UJR
Highmark BCBS of Pennsylvania,UJS
Regence Blue Cross Blue Shield of Oregon,UJT
Unassigned,UJU
Unassigned,UJV
Unassigned,UJW
Independence Blue Cross,UJX
Anthem BCBS of Wisconsin,UJY
Anthem BCBS of Wisconsin,UJZ
Blue Cross Blue Shield of Oklahoma,UKA
Blue Cross Blue Shield of Massachusetts,UKB
Blue Cross Blue Shield of Oklahoma,UKC
Blue Cross Blue Shield of Oklahoma,UKD
Blue Cross of California,UKE
Unassigned,UKF
Unassigned,UKG
Empire Blue Cross Blue Shield,UKH
Blue Cross Blue Shield of Georgia,UKI
Empire Blue Cross Blue Shield,UKJ
Wellmark BCBS,UKK
Blue Cross Blue Shield of Texas,UKL
Blue Cross Blue Shield of Illinois,UKM
Blue Cross of Idaho,UKN
Wellmark BCBS,UKO
Blue Cross of California,UKP
Premera Blue Cross,UKQ
Premera Blue Cross,UKR
CareFirst BCBS,UKS
Blue Cross of California,UKT
BCBS of Tennessee,UKU
Unassigned,UKV
Blue Cross Blue Shield of Massachusetts,UKW
Blue Cross Blue Shield of Nebraska,UKX
Anthem BCBS of Ohio,UKY
Blue Cross Blue Shield of Alabama,UKZ
Anthem BCBS of Colorado,ULA
Independence Blue Cross,ULB
Blue Cross Blue Shield of Illinois,ULC
Premera Blue Cross,ULD
Blue Cross Blue Shield of Illinois,ULE
Blue Cross Blue Shield of Illinois,ULF
Blue Cross Blue Shield of Georgia,ULG
Anthem BCBS of Virginia,ULH
Independence Blue Cross,ULI
Blue Cross Blue Shield of Michigan,ULJ
BCBS of Western New York,ULK
CareFirst BCBS,ULL
CareFirst BCBS,ULM
Blue Cross Blue Shield of Kansas City,ULN
Blue Cross Blue Shield of Michigan,ULO
Blue Cross Blue Shield of Alabama,ULP
Anthem BCBS of Ohio,ULQ
Blue Cross Blue Shield of Georgia,ULR
Anthem BCBS of Kentucky,ULS
Blue Cross Blue Shield of Illinois,ULT
Anthem BCBS of Ohio,ULU
CareFirst BCBS,ULV
Wellmark BCBS,ULW
Anthem BCBS of Colorado,ULX
Blue Cross Blue Shield of Illinois,ULY
BCBS of Tennessee,ULZ
Blue Cross Blue Shield of Massachusetts,UMA
Blue Cross of Idaho,UMB
Blue Cross Blue Shield of Minnesota,UMC
Highmark BCBS of Pennsylvania,UMD
Blue Cross Blue Shield of South Carolina,UME
Blue Cross Blue Shield of Illinois,UMF
