BCBS_Name,Acronym
Blue Cross Blue Shield of North Carolina,V2A
Regence Blue Cross Blue Shield of Oregon,V2B
Blue Cross Blue Shield of Rhode Island,V2C
Blue Cross Blue Shield of Illinois,V2E
Anthem BCBS of Georgia,V2G
Blue Cross Blue Shield of Massachusetts,V2H
Anthem BCBS of Georgia,V2J
Blue Cross Blue Shield of Alabama,V2K
Regence Blue Shield of Washington,V2L
Blue Cross Blue Shield of Minnesota,V2M
Regence Blue Cross Blue Shield of Oregon,V2N
Anthem BCBS of Georgia,V2P
Anthem BCBS of Wisconsin,V2R
Blue Cross Blue Shield of Illinois,V2T
Blue Cross Blue Shield of Illinois,V2W
Empire Blue Cross Blue Shield,V2X
Empire Blue Cross Blue Shield,V2Y
Anthem BCBS of Georgia,V2Z
Regence Blue Cross Blue Shield of Oregon,V3C
Anthem BCBS of Georgia,V3F
Anthem BCBS of Georgia,V3K
Regence Blue Shield of Washington,V3L
Anthem BCBS of Georgia,V3M
Anthem BCBS of Georgia,V3N
Anthem BCBS of Ohio,V3R
Anthem BCBS of Georgia,V3T
Anthem BCBS of Georgia,V3W
Blue Cross of California,V3Z
Anthem BCBS of Georgia,V4M
Anthem BCBS of Georgia,V4N
Blue Cross Blue Shield of Massachusetts,V4R
Anthem BCBS of Georgia,V5C
Anthem BCBS of Wisconsin,V6C
Premera Blue Cross,V6Y
Blue Cross Blue Shield of Illinois,V7M
Blue Cross Blue Shield of Massachusetts,V8T
Anthem BCBS of Colorado,VAA
Anthem BCBS of Colorado,VAB
Anthem BCBS of Colorado,VAC
Anthem BCBS of Colorado,VAD
Anthem BCBS of Colorado,VAE
Anthem BCBS of Colorado,VAF
Anthem BCBS of Colorado,VAG
Anthem BCBS of Colorado,VAH
Anthem BCBS of Colorado,VAI
Anthem BCBS of Colorado,VAJ
Anthem BCBS of Colorado,VAK
BCBS of Texas,VAL
Anthem BCBS of Virginia,VAM
Wellmark BCBS,VAN
Anthem BCBS of Colorado,VAO
Anthem BCBS of Colorado,VAP
Anthem BCBS of Virginia,VAQ
Wellmark BCBS,VAR
Unassigned Prefix,VAS
Anthem BCBS of Colorado,VAT
Anthem BCBS of Virginia,VAU
Anthem BCBS of Ohio,VAV
Anthem BCBS of Virginia,VAW
Independence Blue Cross,VAX
Anthem BCBS of Virginia,VAY
Anthem BCBS of Virginia,VAZ
Anthem BCBS of Maine,VBA
Unassigned,HIX
Anthem BCBS of Maine,VBB
Anthem BCBS of Maine,VBC
Unassigned,HIX
Anthem BCBS of Maine,VBD
Unassigned,HIX
Anthem BCBS of Maine,VBE
Unassigned,HIX
Anthem BCBS of Maine,VBF
Unassigned,HIX
Anthem BCBS of Maine,VBG
Unassigned,HIX
Anthem BCBS of Maine,VBH
Unassigned,HIX
Anthem BCBS of Maine,VBI
Unassigned,HIX
Anthem BCBS of Maine,VBJ
Unassigned,HIX
Anthem BCBS of Maine,VBK
Anthem BCBS of Maine,VBL
Anthem BCBS of Maine,VBM
Unassigned Prefix,VBN
Anthem BCBS of Maine,VBO
Anthem BCBS of Maine,VBP
Anthem BCBS of Connecticut,VBQ
Anthem BCBS of Maine,VBR
Anthem BCBS of Connecticut,VBS
Anthem BCBS of Maine,VBT
Wellmark BCBS,VBU
BCBS of Massachusetts,VBV
BCBS of Illinois,VBW
Anthem BCBS of Ohio,VBX
BCBS of Minnesota,VBY
Empire BCBS,VBZ
BCBS of Oklahoma,VCA
BCBS of New Mexico,VCB
BCBS of Texas,VCC
BCBS of New Mexico,VCD
BCBS of Texas,VCE
Wellmark BCBS,VCF
BCBS of Colorado,VCG
BCBS of Illinois,VCH
BCBS of South Carolina,VCI
Wellmark BCBS,VCJ
BCBS of Massachusetts,VCK
Wellmark BCBS,VCL
Anthem BCBS of Wisconsin,VCM
Premera Blue Cross,VCN
BCBS of Minnesota,VCO
BCBS of Western New York,VCP
Anthem BCBS of Virginia,VCQ
Capital Blue Cross,VCR
Regence BCBS of Oregon,VCS
Independence Blue Cross,VCT
BCBS of Minnesota,VCU
BCBS of Texas,VCV
Blue Cross of Idaho,VCW
BCBS of Oklahoma,VCX
Independence Blue Cross,VCY
Anthem Blue Cross of California,VCZ
Anthem BCBS of Virginia,VDA
Anthem BCBS of Missouri,VDB
Unassigned Prefix,VDC
Carefirst BCBS,VDD
Empire BCBS,VDE
Carefirst BCBS,VDF
Premera Blue Cross,VDG
Anthem Blue Cross of California,VDH
Anthem Blue Cross of California,VDI
BCBS of Texas,VDJ
Wellmark BCBS,VDK
Independence Blue Cross,VDL
Anthem BCBS of Ohio,VDM
BCBS of Illinois,VDN
Unassigned Prefix,VDO
BCBS of Western New York,VDP
BCBS of Michigan,VDQ
Wellmark BCBS,VDR
Independence Blue Cross,VDS
BCBS of Illinois,VDT
BCBS of Minnesota,VDU
Regence BCBS of Oregon,VDV
Anthem BCBS of Georgia,VDW
Anthem Blue Cross of California,VDX
Anthem BCBS of Georgia,VDY
Anthem BCBS of Ohio,VDZ
Anthem BCBS of Wisconsin,VEA
Anthem BCBS of Wisconsin,VEB
Unassigned Prefix,VEC
Blue Shield of California,VED
Empire BCBS,VEE
Blue Shield of California,VEF
Horizon BCBS,VEG
Empire BCBS,VEH
BCBS of Vermont,VEI
Anthem BCBS of Ohio,VEJ
Anthem BCBS of Georgia,VEK
BCBS of Texas,VEL
BCBS of Michigan,VEM
Premera Blue Cross,VEN
Unassigned Prefix,VEO
Anthem BCBS of Missouri,VEP
Wellmark BCBS,VEQ
BCBS of Texas,VER
Unassigned Prefix,VES
BCBS of Massachusetts,VET
Blue Shield of California,VEU
BCBS of Wisconsin,VEV
BCBS of Illinois,VEW
Regence BCBS of Oregon,VEX
BCBS of Georgia,VEY
Blue Shield of California,VEZ
Anthem BCBS of Virginia,VFA
Blue Shield of Northeastern New York,VFB
Unassigned Prefix,VFC
Unassigned Prefix,VFD
Anthem BCBS of Georgia,VFE
Anthem BCBS of Ohio,VFF
Empire BCBS,VFG
BCBS of Rhode Island,VFH
Regence BCBS of Oregon,VFI
BCBS of Rhode Island,VFJ
Premera Blue Cross,VFK
BCBS of Minnesota,VFL
BCBS of Florida,VFM
Premera Blue Cross,VFN
Anthem Blue Cross of California,VFO
Regence BCBS of Oregon,VFP
Anthem BCBS of Georgia,VFQ
Unassigned Prefix,VFR
BCBS of Massachusetts,VFS
Empire BCBS,VFT
Anthem BCBS of Georgia,VFU
Anthem BCBS of Georgia,VFV
Anthem BCBS of Georgia,VFW
Anthem Blue Cross of California,VFX
CareFirst BCBS,VFY
Wellmark BCBS,VGA
Wellmark BCBS,VGB
Anthem BCBS of Colorado,VGC
Anthem BCBS of Georgia,VGD
Unassigned Prefix,VGE
BCBS of Illinois,VGF
Horizon BCBS,VGG
Anthem BCBS of Connecticut,VGH
BCBS of Minnesota,VGI
BCBS of Illinois,VGJ
Empire BCBS,VGK
BCBS of Texas,VGL
BCBS of Massachusetts,VGM
Anthem Blue Cross of California,VGN
BCBS of Minnesota,VGO
Anthem BCBS of Ohio,VGP
Anthem BCBS of Nevada,VGQ
Anthem BCBS of Connecticut,VGR
Unassigned Prefix,VGS
Empire BCBS,VGT
BCBS of Texas,VGU
Empire BCBS,VGV
Anthem BCBS of Missouri,VGW
BCBS of Rhode Island,VGX
Anthem BCBS of Connecticut,VGY
Carefirst BCBS,VGZ
Anthem BCBS of Connecticut,VHA
Anthem BCBS of Connecticut,VHB
Anthem BCBS of Connecticut,VHC
Anthem BCBS of Connecticut,VHD
Anthem BCBS of Connecticut,VHE
Anthem BCBS of Connecticut,VHF
Unassigned Prefix,VHG
Unassigned Prefix,VHH
Anthem BCBS of Connecticut,VHI
Anthem BCBS of Connecticut,VHJ
Anthem BCBS of Connecticut,VHK
Anthem BCBS of Connecticut,VHL
Anthem BCBS of Connecticut,VHM
Anthem BCBS of Connecticut,VHN
BCBS of Massachusetts,VHO
Unassigned Prefix,VHP
Anthem Blue Cross of California,VHQ
BCBS of Illinois,VHR
Anthem Blue Cross of California,VHS
BCBS of Texas,VHT
BCBS of Alabama,VHU
BCBS of Texas,VHV
Anthem BCBS of Georgia,VHW
Independence Blue Cross,VHX
BCBS of Texas,VHY
Anthem Blue Cross of California,VHZ
Anthem BCBS of Virginia,VIA
Unassigned Prefix,VIB
Arizona BCBS,VIC
Arizona BCBS,VID
BCBS of Rhode Island,VIE
Capital Blue Cross,VIF
BCBS of Rhode Island,VIG
Anthem Blue Cross of California,VIH
BCBS of Arizona,VII
BCBS of Michigan,VIJ
Anthem Blue Cross of California,VIK
BCBS of Alabama,VIL
BCBS of Arizona,VIM
BCBS of Minnesota,VIN
BCBS of Michigan,VIO
Blue Shield of California,VIP
BCBS of Michigan,VIQ
BCBS of Michigan,VIR
Anthem BCBS of Ohio,VIS
Unassigned Prefix,VIT
Independence Blue Cross,VIU
Anthem BCBS of Ohio,VIV
BCBS of Michigan,VIW
Unassigned Prefix,VIX
Unassigned Prefix,VIY
Wellmark BCBS,VIZ
BCBS of Michigan,VJA
Empire BCBS,VJB
Empire BCBS,VJC
Empire BCBS,VJD
Anthem BCBS of Georgia,VJE
Anthem Blue Cross of California,VJF
BCBS of Michigan,VJG
BCBS of Texas,VJH
BCBS of Michigan,VJI
BCBS of Michigan,VJJ
BCBS of Michigan,VJK
Anthem BCBS of Georgia,VJL
BCBS of Illinois,VJM
Carefirst BCBS,VJN
BCBS of Michigan,VJO
Anthem BCBS of Ohio,VJP
BCBS of Michigan,VJQ
Anthem BCBS of Connecticut,VJR
BCBS of Illinois,VJS
BCBS of Texas,VJT
BCBS of Michigan,VJU
BCBS of Michigan,VJV
Anthem BCBS of Connecticut,VJW
BCBS of Michigan,VJX
BCBS of Michigan,VJY
BCBS of Michigan,VJZ
Anthem BCBS of Virginia,VKA
Unassigned Prefix,VKB
Wellmark BCBS,VKC
Premera Blue Cross,VKD
Empire BCBS,VKE
BCBS of Illinois,VKF
Unassigned Prefix,VKG
Premera Blue Cross,VKH
Premera Blue Cross,VKH
BCBS of Michigan,VKI
Anthem BCBS of Missouri,VKJ
BCBS of Louisiana,VKK
BCBS of Michigan,VKL
BCBS of Illinois,VKM
Anthem BCBS of Georgia,VKN
BCBS of Michigan,VKO
Blue Shield of California,VKP
Anthem BCBS of Georgia,VKQ
Anthem BCBS of Georgia,VKR
BCBS of Illinois,VKS
BCBS of Texas,VKT
Unassigned Prefix,VKU
Anthem Blue Cross of California,VKV
Anthem BCBS of Connecticut,VKW
Anthem BCBS of Connecticut,VKX
Anthem BCBS of Connecticut,VKY
BCBS of Michigan,VKZ
Anthem BCBS of Ohio,VLA
BCBS of Illinois,VLB
Unassigned Prefix,VLC
Anthem BCBS of Virginia,VLD
Empire BCBS,VLE
Unassigned Prefix,VLF
Premera Blue Cross,VLG
Anthem BCBS of Kentucky,VLH
Unassigned Prefix,VLI
BCBS of Michigan,VLJ
BCBS of Michigan,VLK
Anthem BCBS of California,VLL
Wellmark BCBS,VLM
BCBS of Alabama,VLN
BCBS of Michigan,VLO
BCBS of Tennessee,VLP
Blue Shield of California,VLQ
Wellmark BCBS,VLR
BCBS of Massachusetts,VLS
Anthem BCBS of Georgia,VLT
Anthem BCBS of California,VLU
Capital Blue Cross,VLV
BCBS of Michigan,VLW
