BCBS_Name,Acronym
Blue Shield of Northeastern New York,W2A
Blue Cross Blue Shield of Illinois,W2B
Anthem BCBS of Georgia,W2C
Anthem BCBS of Colorado,W2E
Blue Cross Blue Shield of Illinois,W2F
Regence Blue Cross Blue Shield of Oregon,W2G
Anthem BCBS of Virginia,W2I
Blue Cross Blue Shield of Arkansas,W2K
Blue Cross Blue Shield of Illinois,W2L
Blue Cross Blue Shield of Illinois,W2M
Blue Cross Blue Shield of Arkansas,W2N
Regence Blue Cross Blue Shield of Oregon,W2P
Regence Blue Shield of Washington,W2S
Regence Blue Cross Blue Shield of Oregon,W2T
Blue Cross Blue Shield of Arkansas,W2W
Highmark BCBS of Pennsylvania,W3A
Regence Blue Shield of Washington,W3C
Blue Cross of California,W3E
Premera Blue Cross,W3H
Premera Blue Cross,W3K
Blue Cross Blue Shield of Illinois,W3M
Empire Blue Cross Blue Shield,W3P
Blue Cross Blue Shield of Arkansas,W3T
Empire Blue Cross Blue Shield,W3W
Empire Blue Cross Blue Shield,W3X
Blue Cross Blue Shield of Texas,W4F
Blue Cross Blue Shield of Texas,W4G
Blue Cross Blue Shield of Texas,W4J
Blue Cross Blue Shield of Texas,W4K
Blue Cross Blue Shield of Texas,W4M
Blue Cross Blue Shield of Texas,W4N
Blue Cross Blue Shield of Texas,W4P
Blue Cross Blue Shield of Texas,W4R
Premera Blue Cross,W4T
Blue Cross Blue Shield of Texas,W4V
Blue Cross Blue Shield of Texas,W4W
Blue Cross Blue Shield of Texas,W4X
Blue Cross Blue Shield of Texas,W4Y
Blue Cross Blue Shield of Texas,W4Z
Premera Blue Cross,W5H
Blue Cross Blue Shield of Illinois,W5M
Premera Blue Cross,W5T
Blue Cross Blue Shield of Texas,W6A
Blue Cross Blue Shield of Illinois,W7H
Anthem BCBS of Wisconsin,W8A
Anthem BCBS of Wisconsin,W8B
BCBS of Alabama,WAA
BCBS of Illinois,WAB
Regence BCBS,WAC
BCBS of Florida,WAD
BCBS of Texas,WAE
