BCBS_Name,Acronym
Anthem BCBS of Connecticut,X2A
Blue Cross of Idaho,X2B
Anthem BCBS of Connecticut,X2C
Anthem BCBS of Connecticut,X2D
Anthem BCBS of Connecticut,X2E
Wellmark BCBS,X2H
Anthem BCBS of Virginia,X2P
Anthem BCBS of New Hampshire,X3A
Wellmark BCBS,X3H
Blue Cross of California,X9A
BCBS of Alabama,XAA
BCBS of Alabama,XAB
BCBS of Alabama,XAC
BCBS of Alabama,XAD
BCBS of Alabama,XAE
BCBS of Alabama,XAF
BCBS of Alabama,XAG
BCBS of Arizona,XAH
BCBS of Alabama,XAI
BCBS of Alabama,XAJ
BCBS of Alabama,XAK
BCBS of Alabama,XAL
BCBS of Alabama,XAM
Anthem BCBS of Missouri,XAN
Blue Shield of California,XAO
BCBS of Alabama,XAP
BCBS of Alabama,XAQ
BCBS of Alabama,XAR
BCBS of Alabama,XAS
BCBS of Alabama,XAT
Anthem BCBS of Colorado,XAU
BCBS of Alabama,XAV
Blue Cross of California,XAW
BCBS of Alabama,XAX
BCBS of Alabama,XAY
BCBS of Alabama,XAZ
BCBS of Arizona,XBA
BCBS of Arizona,XBB
BCBS of Arizona,XBC
BCBS of Arizona,XBD
BCBS of Arizona,XBE
BCBS of Arizona,XBF
BCBS of Arizona,XBG
BCBS of Arizona,XBH
BCBS of Arizona,XBI
BCBS of Arizona,XBJ
BCBS of Arizona,XBK
Unassigned Prefix,XBL
BCBS of Arizona,XBM
BCBS of Arizona,XBN
BCBS of Arizona,XBO
BCBS of Arizona,XBP
BCBS of Arizona,XBQ
BCBS of Arizona,XBR
BCBS of Arizona,XBS
BCBS of Arizona,XBT
BCBS of Arizona,XBU
BCBS of Arizona,XBV
Anthem BCBS of Wisconsin,XBW
BCBS of Arizona,XBX
BCBS of Arizona,XBY
Unassigned Prefix,XBZ
BCBS of Arkansas,XCA
BCBS of Arkansas,XCB
BCBS of Arkansas Blue Advantage Administrators,XCC
Anthem BCBS of Connecticut,XCD
Unassigned Prefix,XCE
BCBS of Arkansas Blue Advantage Administrators,XCF
BCBS of Arkansas,XCG
BCBS of Arkansas Health Advantage,XCH
