BCBS_Name,Acronym
Blue Cross Blue Shield of Illinois,Y2A
Blue Cross Blue Shield of Nebraska,Y2M
Anthem BCBS of Connecticut,YAA
Regence Blue Cross Blue Shield of Oregon,YAB
Anthem BCBS of Kentucky,YAC
Blue Cross Blue Shield of Rhode Island,YAD
Anthem BCBS of Virginia,YAE
Anthem BCBS of Colorado,YAF
BCBS of Mississippi,YAG
Anthem BCBS of Connecticut,YAH
BCBS of Mississippi,YAI
Blue Cross Blue Shield of Alabama,YAJ
Blue Cross of California,YAK
Regence Blue Cross Blue Shield of Oregon,YAL
Blue Shield of California,YAM
Blue Cross of California,YAN
Blue Cross Blue Shield of Mississippi,YAO
Blue Cross Blue Shield of Minnesota,YAP
BCBS of Mississippi,YAQ
Blue Cross Blue Shield of Massachusetts,YAR
BCBS of Mississippi,YAS
Blue Shield of California,YAT
BCBS of Mississippi,YAU
Blue Cross Blue Shield of Tennessee Commercial,YAV
Blue Cross of California,YAW
BCBS of Mississippi,YAX
Wellmark BCBS,YAY
Empire Blue Cross Blue Shield,YAZ
BCBS of Kansas City,YBA
BCBS of Kansas City,YBB
BCBS of Kansas City,YBC
BCBS of Kansas City,YBD
BCBS of Kansas City,YBE
BCBS of Kansas City,YBF
BCBS of Kansas City,YBG
BCBS of Kansas City,YBH
Anthem BCBS of Missouri,YBI
BCBS of Kansas City,YBJ
Anthem BCBS of Ohio,YBK
Anthem BCBS of Kentucky,YBL
BCBS of Kansas City,YBM
Empire Blue Cross Blue Shield,YBN
Blue Cross Blue Shield of Massachusetts,YBO
BCBS of Kansas City,YBP
Blue Cross of California,YBQ
Blue Shield of California,YBR
BCBS of Kansas City,YBS
BCBS of Kansas City,YBT
BCBS of Kansas City,YBU
Empire Blue Cross Blue Shield,YBV
BCBS of Kansas City,YBW
BCBS of Kansas City,YBX
Blue Cross Blue Shield of Minnesota,YBY
BCBS of Kansas City,YBZ
Anthem BCBS of Missouri,YCA
Anthem BCBS of Missouri,YCB
Anthem BCBS of Missouri,YCC
Anthem BCBS of Missouri,YCD
Anthem BCBS of Missouri,YCE
Anthem BCBS of Missouri,YCF
Anthem BCBS of Missouri,YCG
Unassigned Prefix,YCH
Capital BlueCross,YCI
Anthem BCBS of Kentucky,YCJ
Anthem BCBS of Ohio,YCK
Blue Cross of California,YCL
Anthem BCBS of Wisconsin,YCM
Wellmark BCBS,YCN
Blue Cross Blue Shield of Minnesota,YCO
Regence Blue Cross Blue Shield of Oregon,YCP
Anthem BCBS of Indiana,YCQ
Blue Cross Blue Shield of Massachusetts,YCR
Anthem BCBS of Colorado,YCS
Anthem BCBS of Connecticut,YCT
Anthem BCBS of Missouri,YCU
Anthem BCBS of Ohio,YCV
Blue Cross of Idaho,YCW
Blue Cross Blue Shield of Georgia,YCX
Blue Cross of California,YCY
Empire Blue Cross Blue Shield,YCZ
Unassigned Prefix,YDA
Blue Cross Blue Shield of Nebraska,YDB
BCBS of Montana,YDC
BCBS of Montana,YDD
BCBS of Montana,YDE
BCBS of Montana,YDF
BCBS of Montana,YDG
Blue Cross of California,YDH
BCBS of Montana,YDI
BCBS of Montana,YDJ
BCBS of Montana,YDK
BCBS of Montana,YDL
BCBS of Illinois,YDM
BCBS of Montana,YDN
BCBS of Illinois,YDO
Anthem BCBS of Kentucky,YDP
Anthem BCBS of Ohio,YDQ
BCBS of Montana,YDR
Blue Cross Blue Shield of Montana,YDS
BCBS of Montana,YDT
BCBS of Montana,YDU
BCBS of Illinois,YDV
Premera Blue Cross,YDW
Blue Cross Blue Shield of Texas,YDX
Empire Blue Cross Blue Shield,YDY
BCBS of Western New York,YDZ
Blue Cross Blue Shield of Nebraska,YEA
Blue Shield of California,YEB
Blue Cross Blue Shield of Massachusetts,YEC
BCBS of Nebraska,YED
Blue Shield of California,YEE
BCBS of Nebraska,YEF
BCBS of Nebraska,YEG
BCBS of Nebraska,YEH
Blue Cross Blue Shield of North Dakota,YEI
BCBS of Nebraska,YEJ
BCBS of Nebraska,YEK
Blue Cross Blue Shield of Minnesota,YEL
BCBS of Nebraska,YEM
Unassigned Prefix,YEN
Blue Cross Blue Shield of North Dakota,YEO
Blue Cross Blue Shield of North Dakota,YEP
BCBS of Nebraska,YEQ
Blue Cross Blue Shield of North Dakota,YER
BCBS of Nebraska,YES
Blue Cross Blue Shield of Illinois,YET
Anthem BCBS of Ohio,YEU
Blue Shield of California,YEV
Empire Blue Cross Blue Shield,YEW
Anthem BCBS of Ohio,YEX
Empire Blue Cross Blue Shield,YEY
BCBS of Nebraska,YEZ
Anthem BCBS of Nevada,YFA
Anthem BCBS of Nevada,YFB
Anthem BCBS of Nevada,YFC
Anthem BCBS of Nevada,YFD
Blue Cross Blue Shield of Illinois,YFE
Anthem BCBS of Nevada,YFF
Anthem BCBS of Nevada,YFG
Anthem BCBS of Nevada,YFH
Anthem BCBS of Nevada,YFI
Anthem BCBS of Nevada,YFJ
Anthem BCBS of Nevada,YFK
Anthem BCBS of Nevada,YFL
Unassigned Prefix,YFM
Anthem BCBS of Nevada,YFN
Anthem BCBS of Nevada,YFO
Anthem BCBS of Nevada,YFP
Unassigned Prefix,YFQ
Anthem BCBS of Nevada,YFR
Anthem BCBS of Ohio,YFS
Anthem BCBS of Nevada,YFT
Anthem BCBS of Nevada,YFU
Anthem BCBS of Connecticut,YFV
Anthem BCBS of Nevada,YFW
Anthem BCBS of Nevada,YFX
Anthem BCBS of Nevada,YFY
Anthem BCBS of Nevada,YFZ
Anthem BCBS of Hampshire,YGA
Anthem BCBS of Hampshire,YGB
Anthem BCBS of Hampshire,YGC
Anthem BCBS of Hampshire,YGD
Anthem BCBS of Hampshire,YGE
Anthem BCBS of Hampshire,YGF
Anthem BCBS of Hampshire,YGG
Anthem BCBS of Hampshire,YGH
Anthem BCBS of Hampshire,YGI
Anthem BCBS of Hampshire,YGJ
Anthem BCBS of Hampshire,YGK
Anthem BCBS of Hampshire,YGL
Anthem BCBS of Hampshire,YGM
Anthem BCBS of Hampshire,YGN
Anthem BCBS of Hampshire,YGO
Anthem BCBS of Hampshire,YGP
Anthem BCBS of Hampshire,YGQ
Anthem BCBS of Hampshire,YGR
Anthem BCBS of Hampshire,YGS
Unassigned Prefix,YGT
Anthem BCBS of Hampshire,YGU
Anthem BCBS of Hampshire,YGV
Anthem BCBS of Hampshire,YGW
Anthem BCBS of Hampshire,YGX
Blue Shield of California,YGY
Anthem BCBS of Georgia,YGZ
Horizon BCBS of New Jersey,YHA
Horizon BCBS of New Jersey,YHB
Unassigned Prefix,YHC
Horizon BCBS of New Jersey,YHD
Horizon BCBS of New Jersey,YHE
Horizon BCBS of New Jersey,YHF
Horizon BCBS of New Jersey,YHG
Anthem BCBS of Connecticut,YHH
Blue Cross Blue Shield of North Carolina,YHI
Anthem BCBS of Ohio,YHJ
Anthem BCBS of Ohio,YHK
Horizon BCBS of New Jersey,YHL
Horizon BCBS of New Jersey,YHM
Horizon BCBS of New Jersey,YHN
Horizon BCBS of New Jersey,YHO
Horizon BCBS of New Jersey,YHP
Horizon BCBS of New Jersey,YHQ
Horizon BCBS of New Jersey,YHR
Horizon BCBS of New Jersey,YHS
Empire Blue Cross Blue Shield,YHT
Anthem BCBS of Ohio,YHU
Anthem BCBS of Ohio,YHV
Horizon BCBS of New Jersey,YHW
Horizon BCBS of New Jersey,YHX
Horizon BCBS of New Jersey,YHY
Horizon BCBS of New Jersey,YHZ
BCBS of New Mexico,YIA
BCBS of New Mexico,YIB
BCBS of New Mexico,YIC
BCBS of New Mexico,YID
BCBS of New Mexico,YIE
BCBS of New Mexico,YIF
BCBS of New Mexico,YIG
BCBS of New Mexico,YIH
BCBS of New Mexico,YII
BCBS of New Mexico,YIJ
BCBS of New Mexico,YIK
BCBS of New Mexico,YIL
BCBS of New Mexico,YIM
BCBS of New Mexico,YIN
BCBS of New Mexico,YIO
BCBS of New Mexico,YIP
BCBS of New Mexico,YIQ
BCBS of New Mexico,YIR
BCBS of New Mexico,YIS
Blue Cross Blue Shield of New Mexico,YIT
BCBS of New Mexico,YIU
BCBS of New Mexico,YIV
BCBS of New Mexico,YIW
BCBS of New Mexico,YIX
BCBS of New Mexico,YIY
BCBS of New Mexico,YIZ
BCBS of Western New York,YJA
BCBS of Western New York,YJB
BCBS of Western New York,YJC
BCBS of Western New York,YJD
BCBS of Western New York,YJE
BCBS of Western New York,YJF
BCBS of Western New York,YJG
BCBS of Western New York,YJH
CareFirst BCBS,YJI
BCBS of Western New York,YJJ
BCBS of Western New York,YJK
BCBS of Western New York,YJL
BCBS of Western New York,YJM
BCBS of Western New York,YJN
BCBS of Western New York,YJO
BCBS of Western New York,YJP
BCBS of Western New York,YJQ
BCBS of Western New York,YJR
BCBS of Western New York,YJS
BCBS of Western New York,YJT
BCBS of Western New York,YJU
BCBS of Western New York,YJV
BCBS of Western New York,YJW
BCBS of Western New York,YJX
BCBS of Western New York,YJY
BCBS of Western New York,YJZ
Horizon BCBS of New Jersey,YKA
Horizon BCBS of New Jersey,YKB
Horizon Blue Cross Blue Shield of New Jersey,YKC
Horizon BCBS of New Jersey,YKD
Horizon BCBS of New Jersey,YKE
Horizon Blue Cross Blue Shield of New Jersey,YKF
Horizon BCBS of New Jersey,YKG
Horizon BCBS of New Jersey,YKH
Horizon BCBS of New Jersey,YKI
Horizon BCBS of New Jersey,YKJ
Horizon BCBS of New Jersey,YKK
Horizon BCBS of New Jersey,YKL
Horizon BCBS of New Jersey,YKM
Horizon BCBS of New Jersey,YKN
